day,n_faulted,achieved_damage_deg,pre_onset_baseline_deg,spurious_crossing_rate,pre_onset_spread_deg,auc,P5_decoder_error
658,27,19.546,49.88,0.0191,1.847,0.8785,33.62466663194343
672,23,-0.986,83.119,0.067,4.043,0.7219,72.2736133178743
675,28,7.42,66.884,0.0025,3.812,0.9062,54.554284437223686
689,18,5.302,84.003,0.0237,6.246,0.5636,77.51742845835683
692,34,11.275,56.674,0.018,2.31,0.8867,43.17879908570725
702,35,21.301,63.35,0.1073,4.061,0.4556,50.482606071440905
709,22,2.944,68.978,0.0,4.872,0.7063,59.45643475764124
715,33,8.191,79.236,0.147,6.493,0.5536,80.1254648173049
751,19,2.946,82.95,0.0231,7.531,0.6481,78.02043426019569
758,15,27.408,58.269,0.0393,5.544,0.685,45.27497912452755
770,21,1.731,83.419,0.1049,11.671,0.4825,80.05021076050689
783,32,0.391,87.472,0.1994,8.233,0.3187,89.29621356182648
800,35,7.137,54.124,0.0687,4.62,0.9739,42.480696649594606
