episode_id,arm,onset_w,mode,scores
EP00001,C1_variability,19,NONE,"1.7588,1.8185,0.7092,0.6702,0.6745,0.6848,0.0385,0.0000,0.1108,0.1225,0.1033,0.1275,0.5459,0.4915,1.7330,1.9049,5.8285,5.4165,5.5245,5.6015,5.4339,5.6450,3.6101,3.9317,3.5776,3.6079,3.4378,1.5535,1.8629,1.5886,1.3817,1.4527,1.0284,1.2032,0.9362,2.3276,4.9904,5.2925,5.3219,5.3624,5.6465,6.4051,6.5987,6.6483,6.4077,6.1923,6.0953,6.0788,6.0537,5.8321,5.8562,5.6170,4.7005,4.2289,4.6126"
EP00001,C2_covariance,19,NONE,"0.5203,0.7704,0.4487,1.0394,1.4533,1.6125,0.2278,0.2746,0.2829,0.0879,0.0000,0.2176,0.4840,0.5939,1.4120,1.0876,2.4111,2.5096,2.6748,3.0427,3.4009,4.0376,2.8668,2.6785,1.9810,1.3585,0.8651,0.7882,0.5930,0.6558,0.7159,0.5758,0.8172,2.2507,2.2354,0.3632,0.8162,1.8648,2.6123,2.6029,2.7529,2.2185,3.0370,3.0139,2.5542,2.9484,3.4501,3.4978,2.7629,2.4339,1.9464,1.6151,0.5222,0.1633,0.5979"
EP00001,C3_both,19,NONE,"1.7588,1.8185,0.7092,1.0394,1.4533,1.6125,0.2278,0.2746,0.2829,0.1225,0.1033,0.2176,0.5459,0.5939,1.7330,1.9049,5.8285,5.4165,5.5245,5.6015,5.4339,5.6450,3.6101,3.9317,3.5776,3.6079,3.4378,1.5535,1.8629,1.5886,1.3817,1.4527,1.0284,2.2507,2.2354,2.3276,4.9904,5.2925,5.3219,5.3624,5.6465,6.4051,6.5987,6.6483,6.4077,6.1923,6.0953,6.0788,6.0537,5.8321,5.8562,5.6170,4.7005,4.2289,4.6126"
EP00002,C1_variability,31,RATE_LOSS,"3.7576,3.8332,0.5909,0.5633,0.5664,0.5737,0.2051,0.2418,0.1128,0.0035,0.0171,0.0000,0.1557,0.1143,1.1338,1.2552,4.0260,3.7350,3.8113,3.8657,3.7473,3.8964,2.4593,2.6865,2.4364,2.4567,2.3330,0.9185,1.0842,1.6012,2.2451,1.9206,2.1056,2.4359,2.4009,2.7149,2.9130,3.0333,3.0520,3.0777,3.2583,3.7405,3.8635,4.1150,3.9506,4.0139,4.9307,4.5454,3.8800,3.3763,3.4162,3.2396,2.7457,2.3573,2.6012"
EP00002,C2_covariance,31,RATE_LOSS,"0.8234,0.9341,0.7918,1.1505,1.2361,1.3065,0.6941,0.7148,0.7185,0.5545,0.5934,0.4971,0.5118,0.3307,0.0311,0.1124,0.4730,0.5165,0.5896,0.7523,0.9107,1.1923,0.6745,0.5912,0.2828,0.0012,0.0480,0.4613,1.4753,2.0295,1.7268,0.7673,0.6319,1.5600,1.5820,0.4857,0.2324,0.2314,0.5620,0.5578,0.6241,0.3878,0.7498,0.7396,0.5362,0.7106,0.9325,0.9536,0.6286,0.4831,0.2674,0.1209,0.3624,0.5211,0.3289"
EP00002,C3_both,31,RATE_LOSS,"3.7576,3.8332,0.7918,1.1505,1.2361,1.3065,0.6941,0.7148,0.7185,0.5545,0.5934,0.4971,0.5118,0.3307,1.1338,1.2552,4.0260,3.7350,3.8113,3.8657,3.7473,3.8964,2.4593,2.6865,2.4364,2.4567,2.3330,0.9185,1.4753,2.0295,2.2451,1.9206,2.1056,2.4359,2.4009,2.7149,2.9130,3.0333,3.0520,3.0777,3.2583,3.7405,3.8635,4.1150,3.9506,4.0139,4.9307,4.5454,3.8800,3.3763,3.4162,3.2396,2.7457,2.3573,2.6012"
EP00003,C1_variability,26,RATE_LOSS,"3.7229,3.8129,0.5930,0.5653,0.5683,0.5757,0.1162,0.1355,0.0101,0.0018,0.0154,0.0018,0.1550,0.1132,1.1431,1.2653,4.0545,3.7616,3.8384,3.8931,3.7736,3.8158,2.3888,7.9712,11.5356,11.9305,11.1587,8.2407,5.9806,5.7411,6.1291,6.2309,6.5403,5.8079,6.0796,6.0724,5.6757,6.8576,7.5459,7.2055,6.9350,7.4255,7.8310,8.6571,8.5476,9.4893,10.3152,9.5608,9.2449,8.4076,7.9109,7.9118,6.8978,6.1612,6.6777"
EP00003,C2_covariance,26,RATE_LOSS,"0.4765,0.6053,0.4397,0.7437,0.9567,1.0387,0.3261,0.3501,0.3544,0.1636,0.2088,0.0968,0.3138,0.0968,0.5179,0.3509,1.0320,1.0827,1.1677,1.3570,1.5758,2.5989,5.1382,10.6339,16.9052,18.5856,15.8040,6.5300,1.1145,0.4822,0.5233,0.3454,0.5756,1.3671,1.3592,0.1167,0.2112,0.7508,1.1356,1.1307,1.2079,0.9329,1.3541,1.3422,1.1056,1.3085,1.5667,1.5912,1.2130,1.0437,0.7928,0.6223,0.0599,0.1248,0.0989"
EP00003,C3_both,26,RATE_LOSS,"3.7229,3.8129,0.5930,0.7437,0.9567,1.0387,0.3261,0.3501,0.3544,0.1636,0.2088,0.0968,0.3138,0.1132,1.1431,1.2653,4.0545,3.7616,3.8384,3.8931,3.7736,3.8158,5.1382,10.6339,16.9052,18.5856,15.8040,8.2407,5.9806,5.7411,6.1291,6.2309,6.5403,5.8079,6.0796,6.0724,5.6757,6.8576,7.5459,7.2055,6.9350,7.4255,7.8310,8.6571,8.5476,9.4893,10.3152,9.5608,9.2449,8.4076,7.9109,7.9118,6.8978,6.1612,6.6777"
EP00004,C1_variability,18,RATE_LOSS,"1.7389,1.7938,0.7126,0.6723,0.6767,0.6874,0.0199,0.0199,0.1343,0.1464,0.1265,0.3643,0.6283,2.4216,10.4963,21.6516,32.0787,42.5034,38.8210,37.5290,24.9282,16.7491,16.6763,15.2911,15.1121,15.6426,15.6391,14.9439,14.8839,15.0688,15.8436,14.7383,14.7370,12.3810,12.3817,15.1390,13.6611,14.8331,15.4981,15.2456,16.3023,16.2618,15.3911,16.1347,16.2624,17.9739,18.9433,17.3131,16.2495,16.1147,15.4869,15.1358,14.5560,13.2325,13.9741"
EP00004,C2_covariance,18,RATE_LOSS,"0.4073,0.6580,0.3355,0.9276,1.3425,1.5020,0.1142,0.1610,0.1694,0.2023,0.1142,0.3323,1.2701,9.4403,26.5050,44.1273,56.8856,62.7527,59.3129,52.5229,33.3570,10.5569,2.9875,2.7988,2.0997,1.4758,1.4277,0.9964,1.1405,1.3312,1.4001,1.2616,1.4424,2.1416,2.1263,1.1343,0.9430,1.9832,2.7325,2.7230,2.8734,2.3377,3.1581,3.1350,2.6742,3.0694,3.5721,3.6200,2.8834,2.5537,2.0650,1.7329,0.7055,0.6599,0.7500"
EP00004,C3_both,18,RATE_LOSS,"1.7389,1.7938,0.7126,0.9276,1.3425,1.5020,0.1142,0.1610,0.1694,0.2023,0.1265,0.3643,1.2701,9.4403,26.5050,44.1273,56.8856,62.7527,59.3129,52.5229,33.3570,16.7491,16.6763,15.2911,15.1121,15.6426,15.6391,14.9439,14.8839,15.0688,15.8436,14.7383,14.7370,12.3810,12.3817,15.1390,13.6611,14.8331,15.4981,15.2456,16.3023,16.2618,15.3911,16.1347,16.2624,17.9739,18.9433,17.3131,16.2495,16.1147,15.4869,15.1358,14.5560,13.2325,13.9741"
EP00005,C1_variability,32,RATE_LOSS,"3.6830,3.7511,0.5930,0.5653,0.5683,0.5757,0.1727,0.2000,0.0752,0.0018,0.0154,0.0018,0.1550,0.1132,1.1431,1.2653,4.0545,3.7616,3.8384,3.8931,3.7740,3.9241,2.4775,2.7061,2.4544,2.4759,2.3546,0.9537,1.1281,0.4497,0.4866,0.5084,0.5349,1.2584,1.6399,2.0900,2.8946,3.0772,3.0899,3.1120,3.2902,3.7673,4.0518,4.4175,4.1892,4.5361,5.1325,4.8290,4.0363,3.6926,3.8248,3.2629,3.0155,2.5481,2.6203"
EP00005,C2_covariance,32,RATE_LOSS,"0.8305,0.9922,0.7843,1.2078,1.4334,1.5363,0.6416,0.6718,0.6772,0.4376,0.4944,0.3538,0.3753,0.1107,0.4180,0.2083,1.0635,1.1271,1.2338,1.4715,1.7030,2.1144,1.3579,1.2362,0.7856,0.3834,0.0764,0.0276,0.0775,0.0276,0.0892,0.2391,0.8152,1.3204,1.3211,0.0321,0.3552,0.9565,1.3118,1.3079,1.4046,0.9409,1.4679,1.4529,1.1559,1.4107,1.7348,1.7656,1.2908,1.0782,0.7632,0.5491,0.1570,0.3889,0.1081"
EP00005,C3_both,32,RATE_LOSS,"3.6830,3.7511,0.7843,1.2078,1.4334,1.5363,0.6416,0.6718,0.6772,0.4376,0.4944,0.3538,0.3753,0.1132,1.1431,1.2653,4.0545,3.7616,3.8384,3.8931,3.7740,3.9241,2.4775,2.7061,2.4544,2.4759,2.3546,0.9537,1.1281,0.4497,0.4866,0.5084,0.8152,1.3204,1.6399,2.0900,2.8946,3.0772,3.0899,3.1120,3.2902,3.7673,4.0518,4.4175,4.1892,4.5361,5.1325,4.8290,4.0363,3.6926,3.8248,3.2629,3.0155,2.5481,2.6203"
EP00006,C1_variability,27,RATE_LOSS,"3.9339,4.0412,0.5909,0.5750,0.5843,0.6970,0.3488,0.4037,0.2520,0.0035,0.0171,0.0000,0.1557,0.1143,1.1338,1.2552,4.0260,3.7350,3.8113,3.8657,3.7473,3.8862,2.4397,2.6370,2.3607,2.3680,2.2313,2.4131,2.7257,4.2494,5.2140,5.9488,7.1956,6.3118,6.7741,6.6782,6.1800,7.4048,7.3575,7.4467,6.5737,7.1242,7.5944,8.2337,8.5610,9.6756,10.2092,9.5864,9.1036,8.2819,8.0909,7.8010,7.7530,6.6483,6.6472"
EP00006,C2_covariance,27,RATE_LOSS,"0.4601,0.7743,0.4600,1.1034,1.0594,1.1685,0.3393,0.3586,0.3621,0.2089,0.2453,0.1554,0.1691,0.0000,0.3379,0.2039,0.7505,0.7912,0.8594,1.0113,1.1592,1.4173,1.0063,1.2211,1.3652,1.7302,3.0641,1.9740,1.8698,2.0158,2.6880,3.2510,4.3033,3.9829,2.5529,0.8638,0.5067,0.5934,0.8243,0.8297,0.8916,0.6709,1.0089,0.9994,0.8096,0.9724,1.1795,1.1993,0.8958,0.7599,0.5585,0.4217,0.0296,0.1778,0.0017"
EP00006,C3_both,27,RATE_LOSS,"3.9339,4.0412,0.5909,1.1034,1.0594,1.1685,0.3488,0.4037,0.3621,0.2089,0.2453,0.1554,0.1691,0.1143,1.1338,1.2552,4.0260,3.7350,3.8113,3.8657,3.7473,3.8862,2.4397,2.6370,2.3607,2.3680,3.0641,2.4131,2.7257,4.2494,5.2140,5.9488,7.1956,6.3118,6.7741,6.6782,6.1800,7.4048,7.3575,7.4467,6.5737,7.1242,7.5944,8.2337,8.5610,9.6756,10.2092,9.5864,9.1036,8.2819,8.0909,7.8010,7.7530,6.6483,6.6472"
EP00007,C1_variability,25,RATE_LOSS,"3.6767,3.7533,0.5952,0.5673,0.5704,0.5778,0.1152,0.1272,0.0083,0.0000,0.0138,0.0036,0.1542,0.1122,1.1525,1.2756,4.0834,3.7886,3.8659,3.9209,3.7922,3.8326,2.2749,5.3715,8.7628,9.8254,10.9927,11.5930,13.1821,15.3564,16.3737,15.5605,17.6322,16.5316,14.0231,14.5304,12.5555,13.5443,14.2642,14.2048,15.3381,14.9042,15.1228,15.9539,16.0300,16.9304,17.8442,17.6400,15.5414,15.2178,15.7709,14.4158,13.2775,12.3509,13.5724"
EP00007,C2_covariance,25,RATE_LOSS,"0.4167,0.5580,0.3763,0.7098,0.9436,1.0335,0.2516,0.2780,0.2827,0.0732,0.1229,0.0000,0.2197,0.2125,0.6745,0.4913,1.2387,1.2943,1.3876,1.5970,2.1193,3.4639,4.9971,7.8863,10.0326,13.0417,15.9606,15.5828,16.5306,18.4711,20.7095,22.1989,24.2092,23.0487,17.4828,7.1834,2.2438,0.9626,1.3523,1.3470,1.4317,1.1299,1.5921,1.5791,1.3195,1.5421,1.8254,1.8524,1.4373,1.2516,0.9762,0.7891,0.1720,0.0307,0.2147"
EP00007,C3_both,25,RATE_LOSS,"3.6767,3.7533,0.5952,0.7098,0.9436,1.0335,0.2516,0.2780,0.2827,0.0732,0.1229,0.0036,0.2197,0.2125,1.1525,1.2756,4.0834,3.7886,3.8659,3.9209,3.7922,3.8326,4.9971,7.8863,10.0326,13.0417,15.9606,15.5828,16.5306,18.4711,20.7095,22.1989,24.2092,23.0487,17.4828,14.5304,12.5555,13.5443,14.2642,14.2048,15.3381,14.9042,15.1228,15.9539,16.0300,16.9304,17.8442,17.6400,15.5414,15.2178,15.7709,14.4158,13.2775,12.3509,13.5724"
EP00008,C1_variability,28,RATE_LOSS,"4.6137,4.6843,1.4017,1.3199,1.3575,1.4012,1.1508,1.2017,1.0966,0.8507,0.7417,0.8996,0.3993,0.3726,0.4326,0.5110,2.2986,2.1109,2.1601,2.1952,2.1188,2.2150,1.2878,1.4318,1.2687,1.2809,1.2020,0.2988,0.8998,0.6550,0.9307,0.9977,0.8739,1.6771,2.4424,1.5182,1.7189,1.8410,1.8495,2.0071,2.2847,2.2839,3.3062,3.2002,3.4566,3.7157,4.5877,4.4993,4.4263,3.7643,3.7156,3.3180,3.4165,2.8973,2.7982"
EP00008,C2_covariance,28,RATE_LOSS,"0.6945,0.8591,0.6545,1.2177,1.2162,1.3052,0.5310,0.5571,0.5618,0.3544,0.4036,0.2819,0.3005,0.0716,0.3859,0.2045,0.9445,0.9996,1.0919,1.2976,1.4979,1.8539,1.2019,1.1100,0.7352,0.4048,0.1993,0.0716,0.0647,0.1405,0.3020,0.2534,0.4270,1.5873,1.5857,0.3110,0.0121,0.6054,1.0506,1.1564,1.3500,0.9777,1.3229,1.2143,0.9889,1.2703,1.6211,1.6727,1.2807,1.0752,0.8245,0.5878,0.0629,0.3130,0.0696"
EP00008,C3_both,28,RATE_LOSS,"4.6137,4.6843,1.4017,1.3199,1.3575,1.4012,1.1508,1.2017,1.0966,0.8507,0.7417,0.8996,0.3993,0.3726,0.4326,0.5110,2.2986,2.1109,2.1601,2.1952,2.1188,2.2150,1.2878,1.4318,1.2687,1.2809,1.2020,0.2988,0.8998,0.6550,0.9307,0.9977,0.8739,1.6771,2.4424,1.5182,1.7189,1.8410,1.8495,2.0071,2.2847,2.2839,3.3062,3.2002,3.4566,3.7157,4.5877,4.4993,4.4263,3.7643,3.7156,3.3180,3.4165,2.8973,2.7982"
EP00009,C1_variability,17,RATE_LOSS,"1.7045,1.7621,0.7475,0.6745,0.6791,0.6901,0.0000,0.0411,0.1594,0.1719,0.1513,0.1768,0.6086,0.5680,1.8087,1.9837,5.9573,5.5289,5.6107,5.6833,5.4716,5.6179,3.5596,3.7209,3.5038,3.7948,4.1816,3.9585,4.3110,4.9540,5.0540,5.0619,5.6389,5.9633,5.6083,5.9295,7.1704,7.7708,8.1735,8.6852,8.5053,9.1485,9.7934,9.8360,9.4736,10.9842,12.2132,12.4419,11.6189,10.4775,10.5307,10.1628,9.6318,8.3762,8.9349"
EP00009,C2_covariance,17,RATE_LOSS,"0.2938,0.5451,0.2219,0.8152,1.2311,1.3910,0.0000,0.0469,0.0553,0.3172,0.2289,0.4440,0.8411,0.7751,1.5712,1.5648,2.8137,3.0570,3.2270,3.9822,4.4059,5.0840,3.6012,3.4436,2.6559,2.1540,1.9553,1.4927,1.1807,1.1158,1.0252,1.0301,1.3508,1.4080,1.4064,0.6789,1.2836,2.3736,3.2076,3.5963,4.2281,3.4091,3.7572,3.3718,3.0609,3.6996,4.4769,4.5219,3.5921,2.9332,2.3651,1.9206,0.7535,0.3929,0.8295"
EP00009,C3_both,17,RATE_LOSS,"1.7045,1.7621,0.7475,0.8152,1.2311,1.3910,0.0000,0.0469,0.1594,0.3172,0.2289,0.4440,0.8411,0.7751,1.8087,1.9837,5.9573,5.5289,5.6107,5.6833,5.4716,5.6179,3.6012,3.7209,3.5038,3.7948,4.1816,3.9585,4.3110,4.9540,5.0540,5.0619,5.6389,5.9633,5.6083,5.9295,7.1704,7.7708,8.1735,8.6852,8.5053,9.1485,9.7934,9.8360,9.4736,10.9842,12.2132,12.4419,11.6189,10.4775,10.5307,10.1628,9.6318,8.3762,8.9349"
EP00010,C1_variability,26,RATE_LOSS,"3.8576,3.9509,0.5930,0.5653,0.5683,0.5954,0.2710,0.3209,0.1790,0.0018,0.0154,0.0018,0.1550,0.1132,1.1431,1.2653,4.0545,3.7616,3.8384,3.8931,3.7714,3.8758,2.3888,2.5732,2.2652,2.2681,2.9657,3.4015,3.5662,4.7898,5.1999,6.3118,7.6400,6.7825,7.3778,7.8888,9.1264,8.9662,10.2432,11.3059,12.9753,12.8545,12.7861,13.1104,13.4522,16.0993,18.0768,17.5463,16.8927,15.2016,15.9112,15.1063,13.9003,11.5123,13.2903"
EP00010,C2_covariance,26,RATE_LOSS,"0.4765,0.7080,0.4397,1.0601,1.0196,1.1124,0.3261,0.3501,0.3544,0.1636,0.2088,0.0968,0.1139,0.0968,0.5179,0.3509,1.0320,1.0827,1.1677,1.3570,1.5938,2.0070,1.7090,2.2422,2.3965,2.5518,2.7927,2.3135,2.1708,2.3272,2.5303,2.8334,3.8302,3.5408,3.2786,2.5017,2.9250,3.5548,4.1655,4.9451,5.9088,5.4146,5.3795,5.0306,5.1045,5.9863,6.9850,7.5579,9.1352,7.3736,5.6796,3.0010,0.9254,0.1037,0.0989"
EP00010,C3_both,26,RATE_LOSS,"3.8576,3.9509,0.5930,1.0601,1.0196,1.1124,0.3261,0.3501,0.3544,0.1636,0.2088,0.0968,0.1550,0.1132,1.1431,1.2653,4.0545,3.7616,3.8384,3.8931,3.7714,3.8758,2.3888,2.5732,2.3965,2.5518,2.9657,3.4015,3.5662,4.7898,5.1999,6.3118,7.6400,6.7825,7.3778,7.8888,9.1264,8.9662,10.2432,11.3059,12.9753,12.8545,12.7861,13.1104,13.4522,16.0993,18.0768,17.5463,16.8927,15.2016,15.9112,15.1063,13.9003,11.5123,13.2903"
EP00011,C1_variability,33,CHANNEL_DROPOUT,"3.5367,3.5919,0.6018,0.5673,0.5704,0.5778,0.1605,0.0891,0.0104,0.0168,0.0138,0.1645,0.1542,0.1122,1.1525,1.2756,4.0834,3.7886,3.8659,3.9210,3.8010,3.9521,2.4958,2.7260,2.4726,2.4942,2.3725,0.9864,1.2360,0.3643,0.3199,0.3171,0.7784,4.1187,5.3304,8.5187,8.9650,8.8741,8.8229,8.8984,8.9571,8.5032,7.1082,7.0095,6.9491,6.6698,6.2955,6.3791,6.6081,6.9176,7.1018,7.1264,7.4278,8.3873,8.4412"
EP00011,C2_covariance,33,CHANNEL_DROPOUT,"0.8412,0.9838,0.8004,1.1371,1.3731,1.4639,0.6745,0.7011,0.7059,0.4945,0.5446,0.4205,0.4395,0.2060,0.2604,0.0754,0.8300,0.8861,0.9803,1.1900,1.3942,1.7572,1.0897,0.9824,0.5848,0.2299,0.1555,0.0716,0.3349,0.1308,0.1572,0.3673,0.0000,2.0079,2.0429,0.4988,0.1176,0.4623,0.8800,0.8630,0.9759,0.6563,1.1021,1.1131,0.8903,1.1027,1.3784,1.4242,1.0293,0.8485,0.5560,0.3974,0.2369,0.4475,0.2068"
EP00011,C3_both,33,CHANNEL_DROPOUT,"3.5367,3.5919,0.8004,1.1371,1.3731,1.4639,0.6745,0.7011,0.7059,0.4945,0.5446,0.4205,0.4395,0.2060,1.1525,1.2756,4.0834,3.7886,3.8659,3.9210,3.8010,3.9521,2.4958,2.7260,2.4726,2.4942,2.3725,0.9864,1.2360,0.3643,0.3199,0.3673,0.7784,4.1187,5.3304,8.5187,8.9650,8.8741,8.8229,8.8984,8.9571,8.5032,7.1082,7.0095,6.9491,6.6698,6.2955,6.3791,6.6081,6.9176,7.1018,7.1264,7.4278,8.3873,8.4412"
EP00012,C1_variability,23,CHANNEL_DROPOUT,"1.2151,1.0430,0.6745,0.6424,0.6459,0.6544,0.1228,0.0912,0.0000,0.0096,0.0062,0.0137,0.1676,0.1194,1.3342,1.4756,4.7027,4.3689,4.5011,4.7532,4.8846,5.3291,5.1897,4.8140,11.9792,19.7917,28.6458,29.9479,29.9479,29.9479,29.9479,29.9479,29.9479,29.9479,29.9479,29.9479,29.9479,29.9479,29.9479,29.9479,29.9479,29.9479,29.9479,29.9479,29.9479,29.9479,29.9479,29.9479,29.9479,29.9479,29.9479,29.9479,29.9479,29.9479,29.9479"
EP00012,C2_covariance,23,CHANNEL_DROPOUT,"0.4978,0.6745,0.4472,0.8645,1.1569,1.2694,0.2912,0.3242,0.3301,0.0681,0.1302,0.0235,0.2838,0.2893,0.8673,0.6381,1.5731,1.9953,5.1655,8.5450,13.5618,18.1075,18.3706,17.9193,13.8472,10.9254,5.7660,5.2800,5.2000,5.1550,4.7729,4.8002,4.6532,3.5291,3.4488,4.6808,5.2094,6.0387,6.5159,6.5585,6.7625,6.2817,6.8941,6.8381,6.5627,6.8475,7.2686,7.3160,6.7562,6.6168,6.3910,6.1659,5.4716,5.0651,5.4050"
EP00012,C3_both,23,CHANNEL_DROPOUT,"1.2151,1.0430,0.6745,0.8645,1.1569,1.2694,0.2912,0.3242,0.3301,0.0681,0.1302,0.0235,0.2838,0.2893,1.3342,1.4756,4.7027,4.3689,5.1655,8.5450,13.5618,18.1075,18.3706,17.9193,13.8472,19.7917,28.6458,29.9479,29.9479,29.9479,29.9479,29.9479,29.9479,29.9479,29.9479,29.9479,29.9479,29.9479,29.9479,29.9479,29.9479,29.9479,29.9479,29.9479,29.9479,29.9479,29.9479,29.9479,29.9479,29.9479,29.9479,29.9479,29.9479,29.9479,29.9479"
EP00013,C1_variability,29,CHANNEL_DROPOUT,"1.6271,1.6455,0.6854,0.6745,0.6757,0.6786,0.4972,0.4864,0.4553,0.4520,0.4574,0.4506,0.5125,0.4960,0.0000,0.0482,1.1495,1.0338,1.0641,1.0857,1.0387,1.0980,0.5268,0.6218,1.4164,3.5218,8.1132,10.8472,12.5379,13.4201,24.4792,55.3309,79.1178,78.8277,77.3106,79.0701,78.7824,79.9902,80.5828,80.1697,79.5006,79.2095,80.5003,81.1332,81.9017,82.4565,82.0864,83.3139,82.7417,81.1210,80.5491,80.5972,79.9905,78.5103,79.0986"
EP00013,C2_covariance,29,CHANNEL_DROPOUT,"0.6745,0.7794,0.6445,0.8923,1.0659,1.1327,0.5518,0.5714,0.5749,0.4193,0.4562,0.3649,0.3789,0.2071,0.1361,0.0000,0.5552,0.5966,0.6658,0.8202,0.9704,1.2375,0.7464,0.9626,5.0194,10.9343,15.7484,18.7639,20.0784,19.7853,18.0091,15.0366,9.8929,9.2878,9.2853,10.0783,10.2527,10.6263,10.9465,10.9511,11.1219,10.8655,11.1015,11.0956,10.9913,11.2027,11.3508,11.3809,11.2195,11.0300,10.8515,10.6953,10.3003,10.0235,10.1902"
EP00013,C3_both,29,CHANNEL_DROPOUT,"1.6271,1.6455,0.6854,0.8923,1.0659,1.1327,0.5518,0.5714,0.5749,0.4520,0.4574,0.4506,0.5125,0.4960,0.1361,0.0482,1.1495,1.0338,1.0641,1.0857,1.0387,1.2375,0.7464,0.9626,5.0194,10.9343,15.7484,18.7639,20.0784,19.7853,24.4792,55.3309,79.1178,78.8277,77.3106,79.0701,78.7824,79.9902,80.5828,80.1697,79.5006,79.2095,80.5003,81.1332,81.9017,82.4565,82.0864,83.3139,82.7417,81.1210,80.5491,80.5972,79.9905,78.5103,79.0986"
