episode_id,arm,onset_w,mode,scores
EP00001,C1_variability,15,NONE,"0.1528,0.0767,0.0744,0.0951,0.1690,0.1826,0.0917,0.0565,0.2411,0.1801,0.2268,0.0543,0.2639,0.1378,0.5101,0.3754,0.5651,1.1149,1.0821,1.7861,1.0003,0.5508,0.7843,0.5920,0.6741,1.0490,1.2997,2.4333,3.0912,3.2448,3.2027,2.7024,2.2603,1.2398,0.3904,0.6384,0.6874,0.9692,0.9369,1.5291,1.9385,1.4671"
EP00001,C2_covariance,15,NONE,"1.0978,0.8719,0.7411,1.0772,0.9730,0.4585,0.0000,0.0067,0.1696,0.4193,0.4522,0.6817,0.4148,0.5337,0.6687,0.4065,0.6085,0.2563,0.6038,0.6496,0.5055,0.3352,0.0841,0.1405,0.0658,0.3003,0.2619,0.8536,0.7022,0.4962,0.8439,1.1254,0.7214,0.6559,0.6353,0.7090,0.9921,0.8203,0.8467,0.4856,0.3585,0.2656"
EP00001,C3_both,15,NONE,"1.0978,0.8719,0.7411,1.0772,0.9730,0.4585,0.0917,0.0565,0.2411,0.4193,0.4522,0.6817,0.4148,0.5337,0.6687,0.4065,0.6085,1.1149,1.0821,1.7861,1.0003,0.5508,0.7843,0.5920,0.6741,1.0490,1.2997,2.4333,3.0912,3.2448,3.2027,2.7024,2.2603,1.2398,0.6353,0.7090,0.9921,0.9692,0.9369,1.5291,1.9385,1.4671"
EP00002,C1_variability,25,RATE_LOSS,"0.2974,0.5005,0.2685,0.1496,0.2236,0.2017,0.1939,0.2220,0.5625,0.1931,0.0280,0.0000,0.3192,0.0836,0.2202,0.2479,0.3185,0.1357,0.2144,0.3494,0.8243,1.4218,2.1966,3.1315,4.0058,4.7036,4.8453,4.6836,4.4687,4.4710,4.3624,4.3992,4.4494,4.7510,5.0261,4.9657,4.8501,4.7837,4.7820,4.7754,4.6649,4.7591"
EP00002,C2_covariance,25,RATE_LOSS,"1.3611,1.1340,1.0025,1.3404,1.2356,0.7185,0.2576,0.2644,0.0872,0.1638,0.1969,0.4276,0.1593,0.2789,0.4145,0.1510,0.3540,0.0001,0.3493,0.4144,0.2485,0.0522,0.2758,0.2224,0.3117,0.0375,0.3984,0.8612,0.8135,0.7564,0.8565,1.0387,0.9828,0.9169,0.8962,0.9703,1.2549,1.0821,1.1087,0.7457,0.6190,0.5999"
EP00002,C3_both,25,RATE_LOSS,"1.3611,1.1340,1.0025,1.3404,1.2356,0.7185,0.2576,0.2644,0.5625,0.1931,0.1969,0.4276,0.3192,0.2789,0.4145,0.2479,0.3540,0.1357,0.3493,0.4144,0.8243,1.4218,2.1966,3.1315,4.0058,4.7036,4.8453,4.6836,4.4687,4.4710,4.3624,4.3992,4.4494,4.7510,5.0261,4.9657,4.8501,4.7837,4.7820,4.7754,4.6649,4.7591"
EP00003,C1_variability,21,RATE_LOSS,"0.1126,0.3119,0.1130,0.1338,0.2077,0.1858,0.1303,0.0951,0.4825,0.1054,0.0122,0.0158,0.3443,0.0994,0.2359,0.4620,1.3557,2.6644,4.5211,6.6104,8.8734,10.8530,12.1160,12.6159,12.6401,12.5870,12.4171,12.2482,12.0692,12.0711,11.9807,12.0113,12.0531,12.3044,12.5335,12.4833,12.3869,12.3316,12.3303,12.3248,12.2327,12.3112"
EP00003,C2_covariance,21,RATE_LOSS,"1.1562,1.0546,0.7420,1.0781,0.9739,0.4595,0.0012,0.0076,0.1687,0.4184,0.4513,0.6808,0.4139,0.5328,0.6678,0.3837,0.4331,0.0526,0.0347,0.0000,0.1244,0.3259,0.0703,0.1397,0.0649,0.2994,0.4741,1.0936,0.8253,0.5637,0.9043,1.2341,0.7809,0.6568,0.6362,0.7099,0.9931,0.8212,0.8477,0.4865,0.5689,0.5232"
EP00003,C3_both,21,RATE_LOSS,"1.1562,1.0546,0.7420,1.0781,0.9739,0.4595,0.1303,0.0951,0.4825,0.4184,0.4513,0.6808,0.4139,0.5328,0.6678,0.4620,1.3557,2.6644,4.5211,6.6104,8.8734,10.8530,12.1160,12.6159,12.6401,12.5870,12.4171,12.2482,12.0692,12.0711,11.9807,12.0113,12.0531,12.3044,12.5335,12.4833,12.3869,12.3316,12.3303,12.3248,12.2327,12.3112"
EP00004,C1_variability,14,RATE_LOSS,"0.4863,0.3195,0.0855,0.1063,0.1801,0.1583,0.1028,0.0676,0.0891,1.1666,2.7421,5.1871,8.2102,12.3063,17.8347,23.2653,26.5236,27.5634,27.6159,27.6001,27.6097,27.5245,27.5318,27.5819,27.5964,27.5645,27.4627,27.3614,27.2540,27.2552,27.2009,27.2193,27.2444,27.3951,27.5325,27.5023,27.4446,27.4114,27.4106,27.4073,27.3521,27.3991"
