participant,day,auc,n_faulted,n_healthy,boot_se,ci_lo,ci_hi,frac_crossing,frac_benign,mean_severity,n_modes
T11,658,0.8785,19,13,0.0601,0.7409,0.9717,0.368,0.158,0.5974,4
T11,672,0.7219,22,17,0.0874,0.5321,0.877,0.364,0.182,0.5182,5
T11,675,0.9062,24,12,0.049,0.7917,0.9826,0.375,0.333,0.5042,5
T11,689,0.5636,10,22,0.1117,0.3455,0.7773,0.4,0.5,0.43,4
T11,692,0.8867,25,6,0.0833,0.7,1.0,0.16,0.4,0.326,4
T11,702,0.4556,18,5,0.1697,0.1333,0.7889,0.444,0.333,0.4972,4
T11,709,0.7063,21,18,0.0859,0.5238,0.8624,0.333,0.333,0.45,4
T11,715,0.5536,24,7,0.1408,0.2738,0.8275,0.292,0.333,0.4021,5
T11,751,0.6481,15,18,0.1016,0.4333,0.8296,0.333,0.333,0.4467,4
T11,758,0.685,8,25,0.0893,0.505,0.855,0.125,0.5,0.3125,3
T11,770,0.4825,15,19,0.1016,0.2737,0.6772,0.267,0.4,0.38,5
T11,783,0.3187,20,8,0.1093,0.125,0.55,0.25,0.35,0.375,5
T11,800,0.9739,23,5,0.0305,0.8957,1.0,0.304,0.304,0.4652,4
