participant,rule,false_alarms_per_hour,detection_fraction,n_detected
T11,threshold,13.0763,0.0039,3
T11,threshold,13.0763,0.0052,4
T11,threshold,13.0763,0.017,13
T11,threshold,13.0763,0.0275,21
T11,threshold,13.0763,0.0353,27
T11,threshold,13.0763,0.0484,37
T11,threshold,13.0763,0.0628,48
T11,threshold,13.0763,0.0785,60
T11,threshold,13.034,0.0942,72
T11,threshold,13.034,0.1152,88
T11,threshold,13.034,0.1361,104
T11,threshold,12.9917,0.1623,124
T11,threshold,12.9493,0.1793,137
T11,threshold,12.9493,0.2029,155
T11,threshold,12.9493,0.2277,174
T11,threshold,12.907,0.2487,190
T11,threshold,12.8647,0.2853,218
T11,threshold,12.8647,0.3115,238
T11,threshold,12.8224,0.3351,256
T11,threshold,12.8224,0.3599,275
T11,threshold,12.6531,0.3979,304
T11,threshold,12.6531,0.4188,320
T11,threshold,12.6108,0.449,343
T11,threshold,12.6108,0.4935,377
T11,threshold,12.5262,0.5432,415
T11,threshold,12.4838,0.5746,439
T11,threshold,12.4838,0.6113,467
T11,threshold,11.9337,0.6322,483
T11,threshold,10.6642,0.6113,467
T11,threshold,10.2833,0.6008,459
T11,threshold,10.1563,0.6099,466
T11,threshold,9.9871,0.6322,483
T11,threshold,9.8601,0.6597,504
T11,threshold,9.5639,0.6728,514
T11,threshold,9.4793,0.6937,530
T11,threshold,9.3946,0.7081,541
T11,threshold,8.4636,0.7147,546
T11,threshold,7.7019,0.7029,537
T11,threshold,7.6596,0.7003,535
T11,threshold,6.6863,0.6636,507
T11,threshold,5.5437,0.6099,466
T11,threshold,5.1205,0.5916,452
T11,threshold,5.0782,0.5929,453
T11,threshold,5.0782,0.5851,447
T11,threshold,4.4011,0.4935,377
T11,threshold,3.5547,0.4346,332
T11,threshold,3.5124,0.4411,337
T11,threshold,3.4701,0.4437,339
T11,threshold,3.3854,0.4084,312
T11,threshold,2.5391,0.3312,253
T11,threshold,1.862,0.2906,222
T11,threshold,1.7774,0.2827,216
T11,threshold,1.7774,0.2762,211
T11,threshold,1.7774,0.2749,210
T11,threshold,1.7774,0.2709,207
T11,threshold,1.6927,0.2644,202
T11,threshold,1.5235,0.2304,176
T11,threshold,1.1849,0.1846,141
T11,threshold,1.1849,0.1767,135
T11,threshold,1.1003,0.1649,126
T11,threshold,0.8464,0.1178,90
T11,threshold,0.6348,0.0916,70
T11,threshold,0.6348,0.0864,66
T11,threshold,0.6348,0.0864,66
T11,threshold,0.6348,0.0851,65
T11,threshold,0.5925,0.0812,62
T11,threshold,0.3385,0.038,29
T11,threshold,0.0,0.0,0
T11,threshold,0.0,0.0,0
T11,threshold,0.0,0.0,0
T11,threshold,0.0,0.0,0
T11,threshold,0.0,0.0,0
T11,threshold,0.0,0.0,0
T11,threshold,0.0,0.0,0
T11,threshold,0.0,0.0,0
T11,threshold,0.0,0.0,0
T11,threshold,0.0,0.0,0
T11,threshold,0.0,0.0,0
T11,threshold,0.0,0.0,0
T11,threshold,0.0,0.0,0
T11,threshold,0.0,0.0,0
T11,threshold,0.0,0.0,0
T11,threshold,0.0,0.0,0
T11,threshold,0.0,0.0,0
T11,threshold,0.0,0.0,0
T11,threshold,0.0,0.0,0
T11,threshold,0.0,0.0,0
T11,threshold,0.0,0.0,0
T11,threshold,0.0,0.0,0
T11,threshold,0.0,0.0,0
T11,cusum,13.0763,0.0249,19
T11,cusum,13.0763,0.0288,22
