episode_id,block_id,split,mode,rate,severity,onset_w,n_windows,crossing_w,crossed,clipped_fraction,detector,scores,attribution
EP00001,T11/day_658/block_5,fit,NONE,none,none,19,55,-1,False,0.0,mean_activity,"0.3100,0.2728,0.3066,0.3907,0.4179,0.4378,0.6141,0.6002,0.4576,0.4438,0.4314,0.3540,0.3086,0.4094,0.7993,0.6899,1.4452,1.5882,1.6875,1.5650,1.2593,1.5773,0.8713,0.8826,0.6024,0.7019,0.7103,0.5978,0.5047,0.3408,0.3900,0.3859,0.3738,0.2218,0.2958,0.8528,1.5725,2.1068,2.4488,2.4342,2.5843,2.7294,2.8013,3.4986,3.6034,4.1662,4.6276,4.5563,3.7547,2.6162,2.2506,2.1103,1.3475,1.3058,1.4440",
EP00001,T11/day_658/block_5,fit,NONE,none,none,19,55,-1,False,0.0,robust_dispersion,"1.8267,1.4676,2.9683,2.5692,2.2403,1.8947,5.4738,4.8633,2.7403,3.6191,4.0561,3.9096,2.1678,2.4443,4.8572,2.8471,1.5230,1.8058,0.3964,0.4919,0.4103,0.2211,0.5512,0.0102,0.5504,0.2176,2.0082,0.5023,0.9081,0.7964,0.9093,0.7298,0.2621,0.2342,0.3487,0.0499,0.5812,0.2618,0.3119,0.2442,0.0119,0.2585,0.3981,0.1851,0.0701,1.7436,0.1624,0.2171,0.3432,0.4632,0.1270,0.0286,0.0782,0.5840,0.0525",
EP00001,T11/day_658/block_5,fit,NONE,none,none,19,55,-1,False,0.0,distribution_shift,"2.0876,1.3770,1.0784,0.7187,1.0180,1.3515,1.3832,1.1014,0.1923,0.0969,0.1671,0.0027,0.0530,0.1011,1.1306,0.4945,1.9629,2.6265,0.8851,1.0103,0.2828,2.3925,1.5987,2.6476,0.7625,0.8509,0.7122,2.2184,1.1397,1.4657,1.4664,1.7172,1.4183,2.5427,1.8488,0.5061,0.6077,0.2287,0.2882,0.1839,0.0991,0.4586,0.4932,1.3629,2.4021,2.1709,2.3667,2.5774,2.0283,0.9307,2.2286,1.5792,2.2165,3.4134,3.1515",
EP00001,T11/day_658/block_5,fit,NONE,none,none,19,55,-1,False,0.0,decoder_guard,"4.7323,4.4926,4.7104,5.2525,5.4272,5.5556,6.6916,6.6016,5.6835,5.5940,5.5147,5.0158,4.7236,5.3726,7.8845,7.1796,12.0451,12.9663,13.6058,12.8168,10.8474,12.8958,8.3485,8.4210,6.6159,7.2569,7.3113,6.5865,5.9864,4.9307,5.2478,5.2213,5.1432,4.1642,4.6409,8.2292,12.8652,16.3072,18.5102,18.4161,19.3827,20.3177,20.7807,25.2726,25.9476,29.5729,32.5454,32.0862,26.9222,19.5885,17.2335,16.3295,11.4161,11.1473,12.0372","level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level"
EP00002,T11/day_658/block_5,fit,RATE_LOSS,fast,benign,31,55,-1,False,0.0,mean_activity,"0.3100,0.2728,0.3066,0.3907,0.4179,0.4378,0.6141,0.6002,0.4576,0.4438,0.4314,0.3540,0.3086,0.4094,0.7993,0.6899,1.4452,1.5882,1.6875,1.5650,1.2593,1.5773,0.8713,0.8826,0.6024,0.6961,0.6582,0.4418,0.2151,0.0854,0.1759,0.3160,0.4230,0.6120,0.5524,0.0511,0.5966,1.0775,1.3853,1.3721,1.5072,1.6378,1.7025,2.3301,2.4244,2.9309,3.3462,3.2820,2.5606,1.5359,1.2069,1.0806,0.3941,0.3566,0.4809",
EP00002,T11/day_658/block_5,fit,RATE_LOSS,fast,benign,31,55,-1,False,0.0,robust_dispersion,"1.8267,1.4676,2.9683,2.5692,2.2403,1.8947,5.4738,4.8633,2.7403,3.6191,4.0561,3.9096,2.1678,2.4443,4.8572,2.8471,1.5230,1.8058,0.3964,0.4919,0.4103,0.2211,0.5512,0.0102,0.5504,0.2224,1.8887,0.5717,0.7999,0.6948,0.7941,0.6118,0.1753,0.2661,0.4363,0.1105,0.2465,0.3948,0.3080,0.2085,0.0294,0.2525,0.3818,0.1865,0.0458,1.5638,0.1734,0.3090,0.4053,0.4350,0.1102,0.0443,0.2694,0.2486,0.0736",
EP00002,T11/day_658/block_5,fit,RATE_LOSS,fast,benign,31,55,-1,False,0.0,distribution_shift,"2.0876,1.3770,1.0784,0.7187,1.0180,1.3515,1.3832,1.1014,0.1923,0.0969,0.1671,0.0027,0.0530,0.1011,1.1306,0.4945,1.9629,2.6265,0.8851,1.0103,0.2828,2.3925,1.5987,2.6476,0.7625,0.8544,0.7438,2.1213,1.4066,1.8258,2.1988,3.4215,3.6055,5.7068,5.3205,4.1867,4.6371,4.3109,4.3304,4.0071,4.0316,4.3878,3.5754,4.1866,4.9777,4.7210,5.1480,5.6385,5.3179,4.3942,5.2745,4.3003,4.3850,4.8028,5.3470",
EP00002,T11/day_658/block_5,fit,RATE_LOSS,fast,benign,31,55,-1,False,0.0,decoder_guard,"4.7323,4.4926,4.7104,5.2525,5.4272,5.5556,6.6916,6.6016,5.6835,5.5940,5.5147,5.0158,4.7236,5.3726,7.8845,7.1796,12.0451,12.9663,13.6058,12.8168,10.8474,12.8958,8.3485,8.4210,6.6159,7.2198,6.9758,5.5816,4.1209,2.1856,1.9058,1.8343,1.5695,1.9404,1.3628,2.4063,6.5787,9.6765,11.6591,11.5744,12.4444,13.2859,13.7027,17.7453,18.3528,21.6156,24.2908,23.8776,19.2300,12.6297,10.5102,9.6966,5.2745,5.0326,5.8335","level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,profile,profile,level,profile,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level"
EP00003,T11/day_658/block_5,fit,RATE_LOSS,fast,sub,26,55,41,True,0.0,mean_activity,"0.3100,0.2728,0.3066,0.3907,0.4179,0.4378,0.6141,0.6002,0.4576,0.4438,0.4314,0.3540,0.3086,0.4094,0.7993,0.6899,1.4452,1.5882,1.6875,1.5650,1.2542,1.4678,0.5695,0.2730,0.3429,0.5986,0.9412,1.3397,1.5919,1.7895,1.7541,1.7572,1.7663,1.8803,1.8248,1.4070,0.8672,0.4665,0.2100,0.2210,0.1084,0.0004,0.0543,0.5773,0.6559,1.0780,1.4241,1.3706,0.7694,0.0845,0.3586,0.4639,1.0360,1.0673,0.9636",
EP00003,T11/day_658/block_5,fit,RATE_LOSS,fast,sub,26,55,41,True,0.0,robust_dispersion,"1.8267,1.4676,2.9683,2.5692,2.2403,1.8947,5.4738,4.8633,2.7403,3.6191,4.0561,3.9096,2.1678,2.4443,4.8572,2.8471,1.5230,1.8058,0.3964,0.4919,0.4108,0.2415,0.5503,0.0493,0.5359,0.4714,0.5441,0.4617,1.0810,0.3278,0.3962,0.2874,0.0518,0.3714,0.4265,0.1941,0.1464,0.5197,0.2426,0.1514,0.0562,0.1442,0.3558,0.1886,0.0083,1.3079,0.1899,0.2860,0.4783,0.0625,0.0643,0.1446,0.4416,0.0536,0.3674",
EP00003,T11/day_658/block_5,fit,RATE_LOSS,fast,sub,26,55,41,True,0.0,distribution_shift,"2.0876,1.3770,1.0784,0.7187,1.0180,1.3515,1.3832,1.1014,0.1923,0.0969,0.1671,0.0027,0.0530,0.1011,1.1306,0.4945,1.9629,2.6265,0.8851,1.0103,0.2857,2.2538,1.8624,4.4641,5.8788,9.3405,13.6142,18.2625,20.9528,21.0403,20.7878,21.7633,21.3209,23.7248,23.5844,22.7328,23.5568,23.3036,23.2772,22.7211,22.8675,23.2051,21.4738,21.7686,22.2476,21.9729,22.6422,23.4273,23.3769,22.6874,23.0613,21.7622,21.2217,20.7457,22.1741",
