episode_id,block_id,split,mode,rate,severity,onset_w,n_windows,crossing_w,crossed,clipped_fraction,detector,scores,attribution
EP00001,T11/day_658/block_5,fit,NONE,none,none,19,55,-1,False,0.0,mean_activity,"0.6674,0.8618,0.6852,0.2458,0.1041,0.0000,0.9209,0.8480,0.1037,0.0312,0.0331,0.4376,0.6745,0.1484,1.8881,1.3166,5.2611,6.0079,6.5263,5.8867,4.2901,5.9507,2.2642,2.3230,0.8596,1.3793,1.4234,0.8358,0.3493,0.5066,0.2495,0.2710,0.3344,1.1280,0.7415,2.1675,5.9259,8.7164,10.5024,10.4261,11.2097,11.9678,12.3431,15.9847,16.5319,19.4710,21.8808,21.5086,17.3221,11.3766,9.4674,8.7345,4.7511,4.5332,5.2547",
EP00001,T11/day_658/block_5,fit,NONE,none,none,19,55,-1,False,0.0,robust_dispersion,"0.6561,0.9733,0.3526,0.0000,0.2906,0.5960,2.5663,2.0269,0.1512,0.9276,1.3138,1.1843,0.3547,0.1104,2.0215,0.2455,0.9244,0.6745,2.6202,2.7046,2.6325,2.4653,2.7570,2.2610,2.7562,2.4622,0.4957,1.8262,1.4676,1.5663,1.4665,1.6251,2.0384,2.4769,2.5781,2.3140,1.7564,2.5013,2.5455,2.4857,2.2595,2.0415,2.6217,2.1064,2.3319,0.7295,2.1265,2.4618,2.5732,1.8607,2.3822,2.2447,2.3391,1.7540,2.2236",
EP00001,T11/day_658/block_5,fit,NONE,none,none,19,55,-1,False,0.0,distribution_shift,"0.7352,0.2348,0.1630,0.3891,0.0000,0.6745,0.4542,0.2242,0.3395,0.7114,0.7250,0.7910,0.6793,0.9374,0.0459,0.0956,1.8598,2.2438,0.7650,1.1766,0.8493,3.1008,2.6218,4.5930,2.5407,2.7607,2.8247,4.4422,3.0163,3.0593,2.9643,3.1486,2.5913,4.0150,2.9776,1.3396,1.8084,1.6707,1.8091,1.8075,1.9406,2.3755,1.9435,2.7157,3.8145,3.6711,4.0161,4.5191,4.0152,2.4966,4.0148,3.0558,3.8465,4.7354,4.3190",
EP00001,T11/day_658/block_5,fit,NONE,none,none,19,55,-1,False,0.0,decoder_guard,"2.5182,2.4893,1.1032,0.2458,0.1041,0.0000,0.9209,0.8480,0.1037,0.0312,0.0331,0.4376,0.6745,0.1484,1.8881,1.3166,5.2611,6.0079,6.5263,5.8867,4.2901,5.9507,3.5718,3.6452,3.3872,3.2594,3.6969,4.0292,4.2131,4.2484,4.3483,4.2207,3.6998,3.8869,3.0019,2.6840,5.9259,8.7164,10.5024,10.4261,11.2097,11.9678,12.3431,15.9847,16.5319,19.4710,21.8808,21.5086,17.3221,11.3766,9.4674,8.7345,4.7511,4.5332,5.2547","profile,profile,profile,profile,profile,profile,profile,profile,profile,profile,profile,profile,profile,profile,level,level,level,level,level,level,level,level,dispersion,dispersion,profile,profile,profile,profile,profile,profile,profile,profile,profile,profile,profile,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level"
EP00001,T11/day_658/block_5,fit,NONE,none,none,19,55,-1,False,0.0,decoder_guard_joint,"1.9733,2.0372,0.0000,0.0000,0.4198,0.0000,0.0000,0.0000,0.0000,0.2758,0.5360,0.0000,0.0000,0.3828,0.0000,0.0000,1.0639,1.3665,1.8418,1.9102,2.2941,3.2664,3.2923,3.2912,2.9047,2.7310,3.1021,3.4590,3.6815,3.7512,3.8216,3.7138,3.2175,3.4627,2.5110,1.9794,2.4137,2.8311,3.1601,3.2413,3.4965,3.4500,3.4239,3.7844,4.1632,4.9034,5.4945,5.6595,4.5706,3.2947,3.1110,2.6385,2.0921,1.8877,2.0206","profile,profile,profile,profile,profile,profile,profile,profile,profile,profile,profile,profile,profile,profile,level,level,level,level,level,level,level,level,dispersion,dispersion,profile,profile,profile,profile,profile,profile,profile,profile,profile,profile,profile,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level"
EP00002,T11/day_658/block_5,fit,RATE_LOSS,fast,benign,31,55,-1,False,0.0,mean_activity,"0.5387,0.6745,0.5511,0.2441,0.1451,0.0724,0.5709,0.5200,0.0000,0.0507,0.0956,0.3782,0.5436,0.1761,1.2466,0.8474,3.6030,4.1248,4.4869,4.0401,2.9247,4.0848,1.5094,1.5504,0.5281,0.8701,0.7319,0.0577,0.8850,1.9811,2.3116,2.8225,3.2131,3.9027,3.6852,1.8561,0.5070,2.2615,3.3844,3.3365,3.8292,4.3058,4.5418,6.8315,7.1755,9.0234,10.5386,10.3046,7.6723,3.9341,2.7337,2.2729,0.2317,0.3687,0.0849",
EP00002,T11/day_658/block_5,fit,RATE_LOSS,fast,benign,31,55,-1,False,0.0,robust_dispersion,"0.0000,0.2122,0.6745,0.4387,0.2444,0.0402,2.1548,1.7940,0.5398,1.0590,1.3172,1.2306,0.2015,0.3649,1.7904,0.6029,0.1794,0.0123,1.3134,1.3698,1.3216,1.2098,1.4049,1.0732,1.4044,1.2106,0.0367,0.7415,0.6066,0.6687,0.6100,0.7177,0.9756,1.2364,1.3370,1.1445,0.9336,1.3124,1.2611,1.2024,1.0618,0.9300,1.3048,0.9690,1.1063,0.1553,0.9768,1.2618,1.3186,0.8222,1.1443,1.1054,1.2383,0.9323,1.1227",
EP00002,T11/day_658/block_5,fit,RATE_LOSS,fast,benign,31,55,-1,False,0.0,distribution_shift,"0.6745,0.0059,0.3760,0.5867,0.0946,0.4835,0.3834,0.1040,0.7600,1.1193,1.1698,1.1803,1.1500,1.3486,0.1377,0.4511,1.3452,1.7015,0.3660,0.1211,0.7442,1.3065,0.5320,2.0938,0.0000,0.3783,0.3221,1.8694,1.1031,1.8164,2.1596,3.3861,3.5898,6.6546,5.9771,4.1459,4.7316,4.4376,4.3623,4.1196,4.4474,5.1901,4.3958,5.3392,6.3926,5.9731,6.3463,7.0184,6.5297,4.9929,5.9785,4.7015,4.8375,5.1998,5.6875",
EP00002,T11/day_658/block_5,fit,RATE_LOSS,fast,benign,31,55,-1,False,0.0,decoder_guard,"1.2406,1.1476,0.5511,0.3281,0.2434,0.2915,0.5709,0.5200,0.0000,0.0507,0.0956,0.3782,0.5436,0.1761,1.2466,0.8474,3.6030,4.1248,4.4869,4.0401,2.9247,4.0848,1.5094,1.5504,0.5281,0.8701,0.7770,1.1256,1.3669,1.9811,2.3116,2.8225,3.2131,3.9027,3.6852,1.8561,0.7538,2.2615,3.3844,3.3365,3.8292,4.3058,4.5418,6.8315,7.1755,9.0234,10.5386,10.3046,7.6723,3.9341,2.7337,2.2729,0.6543,0.4419,0.7475","profile,profile,profile,profile,profile,profile,profile,profile,profile,profile,profile,profile,profile,profile,level,profile,level,level,level,level,level,level,dispersion,dispersion,profile,profile,profile,profile,profile,level,level,level,level,level,level,level,profile,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,profile,profile,profile"
EP00002,T11/day_658/block_5,fit,RATE_LOSS,fast,benign,31,55,-1,False,0.0,decoder_guard_joint,"1.1211,0.9528,0.0000,0.0000,0.1591,0.0000,0.4316,0.0000,0.0000,0.0000,0.1756,0.0000,0.0000,0.3491,0.4952,0.0539,0.0000,0.0196,0.0000,0.0000,0.0000,0.7599,0.0000,0.0000,0.0000,0.0000,0.3539,1.5348,2.4306,2.9971,3.4394,3.6242,2.5245,3.5530,1.7055,0.0000,0.0000,0.0000,0.3051,0.3400,1.1187,0.9304,1.0705,2.1381,2.6403,4.6538,5.7219,5.8604,3.9374,1.8964,1.0465,0.0884,0.0000,0.0000,0.0000","profile,profile,profile,profile,profile,profile,profile,profile,profile,profile,profile,profile,profile,profile,level,profile,level,level,level,level,level,level,dispersion,dispersion,profile,profile,profile,profile,profile,level,level,level,level,level,level,level,profile,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,profile,profile,profile"
