window,smooth_sigma,n_windows,seeds,saddle_variance_rate,saddle_ar1_rate,drift_variance_rate,drift_ar1_rate,noise_variance_rate,noise_ar1_rate
800,400.0,145,12,0.3333333333333333,0.25,0.08333333333333333,0.08333333333333333,1.0,0.08333333333333333
800,1000.0,145,12,0.4166666666666667,0.3333333333333333,0.08333333333333333,0.0,1.0,0.08333333333333333
800,2000.0,145,12,0.4166666666666667,0.4166666666666667,0.0,0.0,1.0,0.08333333333333333
1600,400.0,129,12,0.25,0.16666666666666666,0.0,0.0,1.0,0.08333333333333333
1600,1000.0,129,12,0.16666666666666666,0.16666666666666666,0.0,0.0,1.0,0.16666666666666666
1600,2000.0,129,12,0.25,0.25,0.0,0.0,1.0,0.08333333333333333
3000,400.0,101,12,0.25,0.25,0.08333333333333333,0.08333333333333333,1.0,0.08333333333333333
3000,1000.0,101,12,0.25,0.25,0.0,0.0,1.0,0.16666666666666666
3000,2000.0,101,12,0.08333333333333333,0.16666666666666666,0.0,0.0,1.0,0.08333333333333333
5000,400.0,61,12,0.25,0.25,0.08333333333333333,0.0,1.0,0.08333333333333333
5000,1000.0,61,12,0.4166666666666667,0.3333333333333333,0.0,0.0,1.0,0.08333333333333333
5000,2000.0,61,12,0.25,0.16666666666666666,0.0,0.0,1.0,0.08333333333333333
