participant,trial_day,block,primary,parallel,median_angle_error
T11,658,5,23.56847320641416,2.5045876367281057,29.579992294311523
T11,658,7,21.737660260977933,1.96148311070913,22.744230270385742
T11,665,6,28.17278147347366,1.9324122610986438,18.356477737426758
T11,665,7,27.5503309588073,1.95186545578749,21.995939254760742
T11,672,19,36.661977026291325,1.3575127423358857,26.72878074645996
T11,672,20,36.77088248051421,2.8594577825257943,22.212743759155273
T11,675,6,43.26088041646096,1.5840007945130024,20.0447940826416
T11,675,7,50.40209403612117,2.5186978599662706,26.112834930419922
T11,689,13,40.34926738371586,0.9100429622540541,38.25126075744629
T11,689,14,41.83318943246864,1.3751344519189075,38.425960540771484
T11,692,6,36.75770634046891,1.6006919749320017,24.331335067749023
T11,692,7,37.98551952476686,1.550068781662441,23.71845531463623
T11,702,9,46.67599603297287,2.71247486699267,28.80242156982422
T11,702,10,45.713014693752015,5.8208184779068075,39.83614158630371
T11,709,6,54.00741835012902,1.523898376529257,28.86959934234619
T11,709,7,52.136850657096716,1.2994547510244256,36.460357666015625
T11,715,10,54.58508498180015,0.8612625635827106,40.901939392089844
T11,715,11,56.134217425857585,1.1970898660712592,56.966453552246094
T11,727,8,55.76722444223341,0.640675113051988,84.52923965454102
T11,727,9,57.798880994678825,0.6827646198299404,88.73571014404297
T11,751,16,48.729025938407545,1.4600395814617573,24.617960929870605
T11,758,16,64.48040972134007,0.31210343605620106,122.30926513671875
T11,758,18,64.50785906301533,0.36041364696890743,125.403076171875
T11,770,5,54.98837569455101,0.566168197415214,117.73280715942383
T11,770,6,54.13248016950537,0.8232367112840449,89.06304168701172
T11,783,12,67.54979564098608,0.430423650223252,106.30770111083984
T11,783,14,67.73663950551207,0.5522970256955981,113.18214797973633
T11,800,3,62.0577026525565,0.5831074692598697,93.6069107055664
T11,800,4,58.38491328581759,0.5019901813612082,101.99018478393555
T5,2121,1,7.8054544959741445,0.5186016653299969,39.08491134643555
T5,2121,2,8.108206868022751,0.45412201354018356,34.22722625732422
T5,2126,1,7.532850204160778,0.8125983747887064,33.60486602783203
T5,2126,2,7.9486512271025,0.8423728071148208,46.20440673828125
T5,2126,3,8.459326522156193,1.1883137480921522,36.409006118774414
T5,2128,1,9.942834522204139,1.0900839710103782,58.29435348510742
T5,2128,2,10.382658570439604,1.5475207522936778,38.27772903442383
T5,2128,3,10.59771079587538,1.3378790810333685,50.19380187988281
T5,2128,4,10.67353922971325,1.3732516662564187,35.52476501464844
T5,2133,1,7.500302921293722,0.5261340758367854,104.02925872802734
T5,2133,2,7.336202643790409,0.7353169941268394,69.23499298095703
T5,2133,3,7.631425214545821,0.9826770269519411,54.273563385009766
T5,2133,4,7.53644522391949,0.8911296843497606,55.71473693847656
T5,2135,1,7.389901786916998,0.22967142457486003,91.30950546264648
T5,2135,2,7.725894558134227,0.48845294943036055,74.7809066772461
T5,2135,3,7.357366268220924,0.8391863465042522,92.07560348510742
T5,2135,4,7.444929128770851,0.48665162053264377,72.04592514038086
T5,2149,1,7.864104273501647,0.4258709362317886,61.45441818237305
T5,2149,2,7.838301791988527,0.3348090172516113,45.39933776855469
T5,2149,3,7.978039579975304,0.40120318491639967,51.54354476928711
T5,2149,4,7.958231775256344,0.3923757245617115,39.60197067260742
