episode_id,block_id,extractor,mode,severity,onset_w,scores
EP00001,T11/day_658/block_5,F0_control_mean,NONE,none,19,"4.7714,4.1472,2.2972,0.4772,0.0375,0.4607,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3111,0.0000,0.0000,0.0000,0.5429,0.8560,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7863,1.0779,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0021,1.4428,2.4900,4.0547,6.5688,3.9346,0.8778,0.0000,0.0000,0.0000,0.0000,0.0000"
EP00001,T11/day_658/block_5,F1_variability,NONE,none,19,"0.0000,0.6635,2.0022,1.3947,1.1676,0.7128,0.2295,0.1857,0.0000,0.0000,0.1052,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0581,0.0212,0.0136,0.1613,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2131,0.7304,1.4348,2.2182,1.6047,2.3516,3.1790,2.3501,1.7490,0.8233,0.0098,0.0000,0.0000,0.0000,0.0000"
EP00001,T11/day_658/block_5,F2_covariance,NONE,none,19,"0.4695,0.0000,0.0000,0.0000,1.0227,0.0000,0.8861,1.3169,0.0000,0.0000,0.5053,2.5179,0.9690,0.7427,0.0000,0.0000,0.0000,0.0000,0.6315,0.1291,0.0000,0.0000,0.0000,0.0836,0.0000,1.0550,2.2600,1.0717,0.0000,0.0000,1.2970,0.0000,0.0000,0.1698,0.3526,1.0017,1.8195,1.1941,0.0000,0.0000,0.8878,0.0000,0.0000,1.1365,0.8388,0.0000,0.2336,1.9421,0.1600,0.0000,0.0000,0.0000,0.0000,0.4579,0.4599"
EP00001,T11/day_658/block_5,F3_spectral,NONE,none,19,"0.0000,0.0901,0.9475,1.1026,1.0883,0.9918,0.7407,0.6162,0.2082,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1777,0.0000,0.0239,0.0000,0.0398,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0846,0.1690,0.0713,0.0000,0.4200,0.0000,0.2355,0.7727,0.9329,0.5448,0.3005,0.1428,0.1587,0.0000,0.0000,0.0000"
EP00001,T11/day_658/block_5,F4_counts,NONE,none,19,"0.4522,0.6745,0.6745,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.5447,0.0000,0.0000,0.0000,0.3679,2.5553,2.7980,0.0000,2.3488,0.0000,0.0000,0.0579,0.5732,0.0748,0.0000,1.4343,0.0000,0.0000,0.0000,1.4631,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.9156,2.4380,2.1039,2.4511,2.1039,1.5777,0.0000,0.0374,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000"
EP00002,T11/day_658/block_5,F0_control_mean,RATE_LOSS,benign,31,"3.7826,3.3162,1.9339,0.5741,0.2455,0.5617,0.0000,0.2175,0.0000,0.0000,0.0000,0.0000,0.4499,0.0000,0.0000,0.1579,0.6232,0.8571,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.5882,5.9683,10.6637,15.4118,19.0459,21.3849,23.3033,23.2287,21.9098,21.5007,21.5436,21.4690,21.6420,22.0689,22.4136,21.7349,20.4937,20.5344,19.0820,18.3936,18.8932,18.8701,19.9284,19.1508,18.7168,19.2682,19.5500,19.9120"
EP00002,T11/day_658/block_5,F1_variability,RATE_LOSS,benign,31,"0.0000,0.5075,1.5126,1.0565,0.8860,0.5445,0.1817,0.1488,0.0000,0.0000,0.0884,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0093,0.0529,0.0253,0.0195,0.1305,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1464,2.3210,2.8595,4.1583,4.2373,3.8816,3.1994,2.8169,2.7372,3.0456,3.3525,3.1160,3.2980,3.5357,4.1339,4.1318,4.9650,5.8096,5.6472,5.4919,5.0985,4.4229,3.5379,2.9291,2.7242,2.7014"
EP00002,T11/day_658/block_5,F2_covariance,RATE_LOSS,benign,31,"0.3244,0.0000,0.0000,0.0000,0.7893,0.0000,0.6745,1.0366,0.0000,0.0000,0.3545,2.0460,0.7442,0.5540,0.0000,0.0000,0.0000,0.0000,0.4606,0.0383,0.0000,0.0000,0.0000,0.0000,0.0000,0.7395,1.4175,1.2058,0.0000,1.9019,0.6375,0.0000,0.1780,0.0000,0.2261,0.7716,1.4590,0.9334,0.0000,0.0000,0.6759,0.0000,0.0000,0.8849,0.6347,0.0000,0.1261,1.5620,0.0642,0.0000,0.0000,0.0000,0.0000,0.3146,0.3163"
EP00002,T11/day_658/block_5,F3_spectral,RATE_LOSS,benign,31,"0.0000,0.1007,0.8230,0.9536,0.9416,0.8603,0.6488,0.5438,0.2002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1744,0.0247,0.0449,0.0000,0.0582,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6210,1.5451,1.1043,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0960,0.1671,0.0848,0.0000,0.3786,0.0000,0.2231,0.6757,0.8107,0.4837,0.2779,0.1450,0.1584,0.0000,0.0000,0.0000"
EP00002,T11/day_658/block_5,F4_counts,RATE_LOSS,benign,31,"0.4245,0.6745,0.6745,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.6532,0.0000,0.0000,0.0000,0.3297,2.7899,3.0629,0.0000,2.5576,0.0000,0.0000,0.0000,0.5606,0.0000,0.0000,1.6039,0.3776,3.4921,16.2241,30.4471,34.9122,39.6423,40.4437,39.7983,43.2277,41.3003,38.9478,39.4122,38.5579,37.6452,37.6452,40.7367,40.2713,39.3412,39.8061,38.2993,36.4875,36.8341,38.2993,39.2082,39.3969,39.8522,41.3978,40.9259,42.7136"
