episode_id,block_id,extractor,mode,severity,onset_w,scores
EP00001,T5/day_2121/block_1,F0_control_mean,NONE,none,15,"0.0000,0.0000,1.5433,0.5748,0.4612,0.0000,0.5095,0.0000,0.0000,0.4250,0.8150,0.6013,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.4643,6.5488,10.0174,9.3639,7.7655,4.5211,0.0484,0.0000,0.0000,0.1138,3.4592,1.2980,1.7704,0.0000,0.0000,0.0000"
EP00001,T5/day_2121/block_1,F1_variability,NONE,none,15,"0.0000,0.0000,0.0000,0.0000,1.0446,1.9805,0.8764,0.0000,1.0110,1.2643,0.0000,0.5582,0.6745,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000"
EP00001,T5/day_2121/block_1,F2_covariance,NONE,none,15,"0.6743,1.8125,0.0000,0.0000,3.4814,0.0000,0.0000,0.0000,0.6713,0.0000,0.0847,0.7970,0.4456,0.0000,0.0000,2.1047,1.6213,0.0955,2.0190,0.0000,1.3251,0.0000,0.0000,0.0000,0.0000,0.0000,3.8096,2.2508,0.0000,1.8064,2.5138,6.0646,0.2190,0.0000,2.9514,0.4425,0.0000,0.0000,0.0000,0.1401,0.8231,0.0000"
EP00001,T5/day_2121/block_1,F3_spectral,NONE,none,15,"0.0000,0.0000,0.1673,1.3265,0.0000,0.0448,0.0000,0.0000,0.0000,0.0000,0.0000,0.6745,1.6382,2.8687,3.4034,2.6159,2.0942,0.0000,0.0000,0.0000,0.2021,1.1908,1.4958,2.4818,1.6588,1.1703,0.9706,0.9833,1.4088,2.0662,3.6633,4.3369,4.6271,3.6181,1.2388,0.3405,1.3729,2.4040,3.0833,3.3388,2.6019,1.2568"
EP00001,T5/day_2121/block_1,F4_counts,NONE,none,15,"2.4601,1.2136,0.0000,0.9275,0.9275,0.0000,0.0000,0.0000,0.0000,3.0215,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5278,0.0000,0.5278,0.5278,0.0000,0.0000,0.0000,0.4159,3.1910,1.3952,1.3952,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000"
EP00002,T5/day_2121/block_1,F0_control_mean,RATE_LOSS,benign,25,"0.0000,0.3172,1.0540,0.7143,0.6745,0.0000,0.6914,0.0000,0.0000,0.6618,0.7986,0.7236,0.5128,0.1582,0.2762,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2205,0.0000,0.1483,0.9838,2.1214,2.9627,2.7845,2.4206,1.4986,0.4368,0.0000,0.5614,1.2281,1.9656,1.2342,1.2740,0.5956,0.0000,0.0000"
EP00002,T5/day_2121/block_1,F1_variability,RATE_LOSS,benign,25,"0.0000,0.0000,0.0000,0.0000,0.5427,1.0290,0.4553,0.0000,0.5253,0.6569,0.0000,0.2900,0.3504,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6745,2.2693,4.2477,5.6884,7.3573,8.6765,9.6406,9.3116,9.1189,9.0974,9.0449,8.7983,8.4843,8.3223,8.1950,7.8971,8.0478,8.2338,8.3497,8.5272,8.6568,8.9009"
EP00002,T5/day_2121/block_1,F2_covariance,RATE_LOSS,benign,25,"0.4110,1.1049,0.0000,0.0000,2.1223,0.0000,0.0000,0.0000,0.4092,0.0000,0.0516,0.4859,0.2716,0.0000,0.0000,1.2830,0.9884,0.0582,1.2308,0.0000,1.2812,0.0000,0.0000,0.0000,0.0000,0.0000,2.3558,1.3721,0.0000,1.1012,1.5324,3.6970,0.1335,0.0000,1.7992,0.2698,0.0000,0.0000,0.0000,0.0854,0.5018,0.0000"
EP00002,T5/day_2121/block_1,F3_spectral,RATE_LOSS,benign,25,"0.0000,0.0000,0.0610,0.9948,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4696,1.2459,2.2371,2.6679,2.0335,1.6133,0.0000,0.0000,0.0000,0.0000,0.6800,0.9094,1.7427,1.1451,0.9059,0.7037,0.7183,1.0611,1.5906,2.8773,3.4199,3.6537,2.8408,0.9242,0.2006,1.0322,1.8628,2.4100,2.6158,2.0223,0.9387"
EP00002,T5/day_2121/block_1,F4_counts,RATE_LOSS,benign,25,"3.9931,2.3116,0.0000,1.9256,1.9256,0.6745,0.6745,0.6745,0.2604,4.7504,0.2604,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0746,2.5234,5.9470,2.5234,2.5234,1.7941,1.7941,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000"
EP00003,T5/day_2121/block_1,F0_control_mean,RATE_LOSS,sub,21,"0.0000,0.1897,1.0686,0.6634,0.6159,0.0000,0.6361,0.0000,0.0000,0.6008,0.7639,0.6745,0.4230,0.0000,0.1408,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2168,0.4397,1.8768,1.2627,1.9379,2.4088,3.1232,3.4314,3.3273,3.2443,2.6336,2.2396,2.1879,3.1139,3.8285,4.1077,3.4079,3.3087,2.8414,1.6245,0.3126"
EP00003,T5/day_2121/block_1,F1_variability,RATE_LOSS,sub,21,"0.0000,0.0000,0.0000,0.0000,0.2390,0.8437,0.1304,0.0000,0.2174,0.3810,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.2063,6.1039,12.6857,18.6843,25.6254,30.5170,35.5872,36.1433,35.9907,35.8948,35.5458,35.0778,34.8712,34.8131,34.7715,34.5515,34.2239,34.0899,33.9502,33.6226,33.7339,33.9093,34.0640,34.2520,34.3939,34.6696"
EP00003,T5/day_2121/block_1,F2_covariance,RATE_LOSS,sub,21,"0.5582,1.6360,0.0000,0.0000,3.2163,0.0000,0.0000,0.0000,0.5554,0.0000,0.0000,0.6745,0.3417,0.0000,0.0000,1.6429,0.7266,0.0000,0.2512,0.0000,0.5913,0.0000,0.0000,0.0000,0.0000,0.0000,3.5270,2.0510,0.0000,1.6302,2.3001,5.6623,0.1271,0.0000,2.7144,0.3388,0.0000,0.0000,0.0000,0.0524,0.6992,0.0000"
EP00003,T5/day_2121/block_1,F3_spectral,RATE_LOSS,sub,21,"0.0000,0.0000,0.1949,1.5015,0.0000,0.0568,0.0000,0.0063,0.0000,0.0000,0.0000,0.7666,1.8529,3.2399,3.8427,2.9250,2.3263,0.0000,0.0000,0.0000,0.0000,0.8567,1.5617,2.8041,1.8762,1.3254,1.1004,1.1147,1.5943,2.3353,4.1356,4.8950,5.2221,4.0847,1.4028,0.3902,1.5538,2.7162,3.4818,3.7698,2.9392,1.4230"
EP00003,T5/day_2121/block_1,F4_counts,RATE_LOSS,sub,21,"2.7353,1.5031,0.0000,1.2203,1.2203,0.3035,0.3035,0.3035,0.0000,3.2901,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1537,1.3294,8.4141,7.0273,13.9342,9.2783,14.4118,5.1121,5.1121,4.2103,7.9438,4.2103,2.2287,8.4141,8.2880,9.6581,8.2880,8.2880,8.2880,8.2880,9.3577,9.3577,9.3577"
EP00004,T5/day_2121/block_1,F0_control_mean,RATE_LOSS,crossing,14,"0.0000,0.1208,1.2361,0.7220,0.6617,0.0000,0.6873,0.0000,0.0000,0.1299,0.0000,0.0000,0.0000,1.8784,6.5909,9.4659,12.0961,11.9204,11.6233,11.7612,11.5300,11.7563,11.6414,12.1974,11.8414,12.3154,12.3367,12.3809,12.0322,12.0518,12.2812,12.2239,12.5356,12.9304,13.6587,14.1782,13.9900,13.5615,13.3858,13.2500,12.5136,11.7365"
EP00004,T5/day_2121/block_1,F1_variability,RATE_LOSS,crossing,14,"0.0000,0.0000,0.0000,0.0000,0.0000,0.4560,0.0000,0.0000,0.0121,0.4658,5.9618,11.1328,19.0900,27.5616,41.4497,50.4641,61.4320,64.5768,64.6394,64.7187,64.8653,64.9692,64.9138,64.7451,64.6743,64.6291,64.4682,64.2449,64.1480,64.1151,64.0980,64.0020,63.8499,63.7933,63.7272,63.5725,63.6171,63.6956,63.7726,63.8603,63.9273,64.0587"
EP00004,T5/day_2121/block_1,F2_covariance,RATE_LOSS,crossing,14,"0.1734,0.7073,0.0000,0.0000,1.4902,0.0000,0.0000,0.0000,0.1429,0.0000,0.0000,3.5152,9.4937,15.0618,17.0316,4.8225,0.3223,0.0000,0.8042,0.0000,0.4787,0.0000,0.0000,0.0000,0.0000,0.0000,1.6441,0.9129,0.0000,0.7045,1.0363,2.7020,0.0000,0.0000,1.2416,0.0647,0.0000,0.0000,0.0000,0.0000,0.2432,0.0000"
EP00004,T5/day_2121/block_1,F3_spectral,RATE_LOSS,crossing,14,"0.0000,0.0000,0.3428,2.4129,0.0000,0.1239,0.0340,0.0440,0.0000,0.0000,0.0000,0.0000,0.2301,3.3596,2.8197,2.3846,3.9418,0.0000,0.0000,0.0000,0.4049,2.1706,2.7153,4.4762,3.0065,2.1339,1.7774,1.8000,2.5600,3.7339,6.5862,7.7893,8.3074,6.5055,2.2564,0.6522,2.4958,4.3373,5.5503,6.0066,4.6907,2.2885"
EP00004,T5/day_2121/block_1,F4_counts,RATE_LOSS,crossing,14,"1.7313,0.8541,0.0000,0.6527,0.6527,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.7871,10.5762,24.6491,29.8750,44.4710,8847322647.3666,45.0702,44.4710,8847322647.3666,44.4710,8847322647.3666,39.6317,8847322647.3666,8847322647.3666,8847322647.3666,8847322647.3666,39.8518,8847322647.3666,8847322647.3666,8847322647.3666,8847322647.3666,8847322647.3666,8847322647.3666,8847322647.3666,8847322647.3666,8847322647.3666,8847322647.3666,49.9327,49.3479,49.3479"
EP00005,T5/day_2121/block_1,F0_control_mean,RATE_LOSS,benign,25,"0.0000,0.3172,1.0540,0.7143,0.6745,0.0000,0.6914,0.0000,0.0000,0.6618,0.7986,0.7236,0.5128,0.1582,0.2762,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3428,0.0000,0.1122,0.9904,2.1726,3.0775,2.8683,2.4746,1.5182,0.4378,0.0000,0.5614,1.2281,1.9656,1.2342,1.2740,0.5956,0.0000,0.0000"
EP00005,T5/day_2121/block_1,F1_variability,RATE_LOSS,benign,25,"0.0000,0.0000,0.0000,0.0000,0.6959,1.2939,0.5884,0.0000,0.6745,0.8363,0.0285,0.3851,0.4595,0.0158,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2337,0.5358,1.4692,2.6661,4.5649,5.9388,7.7811,9.0401,9.9304,10.1763,10.3161,10.2632,10.1067,9.7403,9.9257,10.1544,10.2969,10.5152,10.6745,10.9748"
EP00005,T5/day_2121/block_1,F2_covariance,RATE_LOSS,benign,25,"0.3255,0.8750,0.0000,0.0000,1.6806,0.0000,0.0000,0.0000,0.3240,0.0000,0.0409,0.3848,0.2151,0.0000,0.0000,1.0160,0.7827,0.0461,0.9747,0.0000,0.7022,0.0000,0.0000,0.0000,0.0000,0.0000,1.8228,1.5982,0.0000,0.8697,1.1198,2.9162,0.0867,0.0000,1.4247,0.2136,0.0000,0.0000,0.0000,0.0676,0.3973,0.0000"
EP00005,T5/day_2121/block_1,F3_spectral,RATE_LOSS,benign,25,"0.0000,0.0000,0.0000,0.8563,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3747,1.0866,1.9956,2.3906,1.8088,1.4234,0.0000,0.0000,0.0000,0.0093,0.7179,0.9397,1.6861,1.0997,0.8197,0.5390,0.5307,0.8220,1.3228,2.5233,3.0650,3.2937,2.5492,0.7916,0.1280,0.8906,1.6523,2.1541,2.3428,1.7985,0.8048"
EP00005,T5/day_2121/block_1,F4_counts,RATE_LOSS,benign,25,"3.9931,2.3116,0.0000,1.9256,1.9256,0.6745,0.6745,0.6745,0.2604,4.7504,0.2604,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3865,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.9470,2.5234,2.5234,1.7941,1.7941,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000"
EP00006,T5/day_2121/block_1,F0_control_mean,RATE_LOSS,sub,21,"0.0000,0.1897,1.0686,0.6634,0.6159,0.0000,0.6361,0.0000,0.0000,0.6008,0.7639,0.6745,0.4230,0.0000,0.1408,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2696,0.0000,0.7910,1.6967,2.7373,3.2652,3.2632,3.2410,2.6336,2.2396,2.1879,3.1139,3.8285,4.1077,3.4079,3.3087,2.8414,1.6245,0.3126"
EP00006,T5/day_2121/block_1,F1_variability,RATE_LOSS,sub,21,"0.0000,0.0000,0.0000,0.0000,0.6745,1.2789,0.5659,0.0000,0.6529,0.8164,0.0000,0.3604,0.4355,0.0000,0.0000,0.0000,0.0000,0.0000,0.8427,3.3140,7.1041,10.2465,14.8290,18.0302,21.3070,24.2086,28.4544,30.7514,33.2634,34.6677,35.1514,34.9741,34.6466,34.5127,34.3730,34.0456,34.1568,34.3321,34.4868,34.6748,34.8166,35.0922"
EP00006,T5/day_2121/block_1,F2_covariance,RATE_LOSS,sub,21,"0.4271,1.2517,0.0000,0.0000,2.4606,0.0000,0.0000,0.0000,0.4249,0.0000,0.0000,0.5160,0.2614,0.0000,0.0000,1.4605,1.1189,0.0000,1.1469,0.0000,1.6595,0.0000,0.0000,0.0000,0.0000,0.0000,1.8123,2.1201,0.0000,1.0974,1.7127,4.3320,0.0973,0.0000,2.0767,0.2592,0.0000,0.0000,0.0000,0.0401,0.5349,0.0000"
EP00006,T5/day_2121/block_1,F3_spectral,RATE_LOSS,sub,21,"0.0000,0.0000,0.2119,1.6802,0.0000,0.0567,0.0000,0.0000,0.0000,0.0000,0.0000,0.8543,2.0750,3.6336,4.3109,3.3126,2.6536,0.0000,0.0000,0.0000,0.0289,1.1066,1.5547,2.9388,2.0336,1.8083,1.1254,1.1252,1.6695,2.5589,4.6346,5.4934,5.8609,4.5828,1.5692,0.4314,1.7389,3.0450,3.9054,4.2290,3.2957,1.5919"
EP00006,T5/day_2121/block_1,F4_counts,RATE_LOSS,sub,21,"2.7353,1.5031,0.0000,1.2203,1.2203,0.3035,0.3035,0.3035,0.0000,3.2901,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.2280,0.0000,0.0000,0.0000,0.0000,0.0000,1.1537,4.3768,5.1121,5.1121,4.2103,7.9438,4.2103,2.2287,8.4141,8.2880,9.6581,8.2880,8.2880,8.2880,8.2880,9.3577,9.3577,9.3577"
EP00007,T5/day_2121/block_1,F0_control_mean,RATE_LOSS,crossing,20,"0.0000,0.1375,1.1222,0.6683,0.6150,0.0000,0.6377,0.0000,0.0000,0.5981,0.7809,0.6807,0.3989,0.0000,0.0751,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7534,1.8538,4.5759,5.8218,7.7561,9.0452,10.0316,10.2990,10.6209,10.8743,10.8237,11.0989,11.4475,12.0905,12.5493,12.3830,12.0047,11.8496,11.7297,11.0795,10.3933"
EP00007,T5/day_2121/block_1,F1_variability,RATE_LOSS,crossing,20,"0.0000,0.0000,0.0000,0.0000,0.3223,1.0268,0.1957,0.0000,0.2971,0.4877,0.0000,0.0000,0.0438,0.0000,0.0000,0.0000,1.8026,6.4812,13.1585,20.6875,31.3128,39.1840,50.9345,59.5779,67.7679,74.2948,84.1488,89.5289,94.4626,96.6534,96.7964,96.6520,96.4231,96.3378,96.2385,96.0057,96.0728,96.1908,96.3068,96.4388,96.5395,96.7372"
EP00007,T5/day_2121/block_1,F2_covariance,RATE_LOSS,crossing,20,"0.5390,1.5744,0.0000,0.0000,3.0924,0.0000,0.0000,0.0000,0.5363,0.0000,0.0028,0.6507,0.3310,0.0000,0.0000,1.4431,0.7875,0.0000,0.5633,0.0000,1.8895,2.2766,0.6093,0.3270,3.0891,0.0000,3.6938,2.4092,0.0000,1.3363,2.2123,5.4420,0.1249,0.0000,2.6103,0.3282,0.0000,0.0000,0.0000,0.0531,0.6744,0.0000"
