day,auc,n_healthy_windows,P1_healthy_dispersion,P2_mean_firing_rate,P3_active_channels,P4_within_day_drift,P5_decoder_error,L1_speed_variability,L2_reversal_rate,L3_output_autocorr,L4_mean_speed
658,0.8785,341,0.8648499983504297,41.95460319949818,384.0,1.5526687070472098,33.62466663194343,0.5535030356492229,0.18742876341305387,0.517269596512231,0.4373238588847453
672,0.7219,110,0.6671700020030511,48.59888592645693,383.0,0.9375928603170882,72.2736133178743,0.45672362661913385,0.014141280644948127,0.8957128802175368,1.0839152303129755
675,0.9062,110,0.7165900004713059,44.97985989236213,384.0,1.85592186084426,54.554284437223686,0.5460651401092151,0.09628293768641108,0.6979237055186852,0.6825260115594257
689,0.5636,110,0.6232448031116473,45.70776977019251,382.0,1.1121688167629742,77.51742845835683,0.5525801634544969,0.16567024786586562,0.5608995750818935,0.5744286771110265
692,0.8867,110,0.5930399999999998,48.796634709973056,381.0,0.9654605206688348,43.17879908570725,0.5406287156253249,0.22276563435538055,0.4538578122438548,0.4942944254473915
702,0.4556,110,1.3294231578348126,46.56842576289597,382.0,0.807880192819832,50.482606071440905,0.5615866695270826,0.24898671028995906,0.4118720252977083,0.49188698427035116
709,0.7063,110,0.5710206077873465,51.69572779444151,383.0,0.7363572736382943,59.45643475764124,0.45187741280096005,0.09488802202577964,0.6885729968623999,0.6834434204607833
715,0.5536,110,0.4880224995286942,50.50213384994083,382.0,0.5583622407591433,80.1254648173049,0.4946033467977563,0.1362462716073699,0.60093515880495,0.6857275022565906
751,0.6481,55,0.4941999999999995,46.35356880068157,384.0,0.7109066004485667,78.02043426019569,0.3876992137607341,0.04742458174153603,0.8026985613393895,0.7501947548082123
758,0.685,110,0.4870522650699657,49.87019447452937,384.0,0.8532901641988794,45.27497912452755,0.5568964501770677,0.1850771620277681,0.5211048918206123,0.5648531626763444
770,0.4825,110,1.025088816869348,51.02082118956251,379.0,1.319761496588214,80.05021076050689,0.5701643190292134,0.204808771619709,0.4891518234590111,0.8135646406800071
783,0.3187,111,0.4447799999999997,49.30584531391136,379.0,0.6180595789062926,89.29621356182648,0.5425532526109242,0.13357135199933612,0.6042991225444073,0.6115303398313451
800,0.9739,110,0.7412999993814111,48.77714468821978,382.0,1.3089267658778274,42.480696649594606,0.5450184501783024,0.15340787061842343,0.5866003228157796,0.5902888487188522
