ae_lo,ae_hi,mean_ae,n_bins,kld,participant
0.0,4.0,1.998238205909729,30732,0.0,T11
4.0,8.0,5.978455066680908,29246,0.002334099990433547,T11
8.0,12.0,9.95030689239502,26721,0.004074735756256498,T11
12.0,16.0,13.955643653869629,23662,0.01012778285944016,T11
16.0,20.0,17.958799362182617,20655,0.015095803567831023,T11
20.0,24.0,21.967056274414062,17896,0.026207772397991658,T11
24.0,28.0,25.9549617767334,16056,0.0336040122968293,T11
28.0,32.0,29.966960906982422,14208,0.04363626469461401,T11
32.0,36.0,33.95332717895508,12920,0.052323239684019196,T11
36.0,40.0,37.971195220947266,11394,0.0631881003916992,T11
40.0,44.0,41.97282791137695,10295,0.07135211683226839,T11
44.0,48.0,45.983402252197266,9464,0.08684784684108982,T11
48.0,52.0,49.96925354003906,8630,0.09084569561298661,T11
52.0,56.0,53.992156982421875,7760,0.10369155250322892,T11
56.0,60.0,57.977447509765625,7192,0.13330852693330275,T11
60.0,64.0,61.97062301635742,6892,0.14642390860502008,T11
64.0,68.0,65.97306060791016,6505,0.16672125083717626,T11
68.0,72.0,69.97929382324219,6119,0.15353547938000833,T11
72.0,76.0,73.99176788330078,5832,0.166378903316736,T11
76.0,80.0,77.99605560302734,5567,0.17461830819326085,T11
80.0,84.0,81.96578979492188,5337,0.16972345248550802,T11
84.0,88.0,86.00240325927734,5230,0.17380538537937262,T11
88.0,92.0,90.00004577636719,5322,0.1950586613754326,T11
92.0,96.0,94.00853729248047,5177,0.19203355666907695,T11
96.0,100.0,97.98638916015625,5330,0.20493512168084882,T11
100.0,104.0,101.99761962890625,5126,0.20736266154113592,T11
104.0,108.0,106.02481079101562,5199,0.19823408920815977,T11
108.0,112.0,110.02337646484375,5326,0.2312975626192233,T11
112.0,116.0,113.97689819335938,5459,0.23040594728113373,T11
116.0,120.0,118.00021362304688,5273,0.24645026488473176,T11
120.0,124.0,122.00479125976562,5717,0.23990417791184804,T11
124.0,128.0,126.01638793945312,5858,0.24975396433469932,T11
128.0,132.0,130.03005981445312,5996,0.23522782827995314,T11
132.0,136.0,134.02777099609375,6064,0.24776986430959225,T11
136.0,140.0,138.010498046875,6261,0.24514045126360884,T11
140.0,144.0,141.99546813964844,6348,0.26010464954697676,T11
144.0,148.0,145.98275756835938,6567,0.28026720435393315,T11
148.0,152.0,149.9912109375,6770,0.26856919155125203,T11
152.0,156.0,154.00701904296875,6773,0.301160252341103,T11
156.0,160.0,158.0092315673828,7117,0.2899625197518487,T11
160.0,164.0,162.02565002441406,7398,0.29087371753846414,T11
164.0,168.0,165.99984741210938,7470,0.30592023412209324,T11
168.0,172.0,170.00753784179688,7506,0.29269009142342783,T11
172.0,176.0,174.01065063476562,7528,0.3399087194056185,T11
176.0,180.0,178.00335693359375,7734,0.30856804601120924,T11
