day,n_bins,median_error_deg,day_chance_deg,margin_deg,direction_concentration,prob_error_exceeds_chance,prob_better_than_chance,p_vs_own_chance,barely_beats_own_chance
658,28574,33.62,89.01,55.39,0.0319,0.2735,0.7265,0.0,False
665,56705,33.12,88.29,55.16,0.0762,0.2776,0.7224,0.0,False
672,28233,72.27,92.66,20.38,0.066,0.4352,0.5648,4.33e-308,False
675,25661,54.55,90.94,36.39,0.0129,0.3723,0.6277,0.0,False
689,28175,77.52,102.71,25.2,0.1808,0.4128,0.5872,0.0,False
692,27804,43.18,87.24,44.06,0.0711,0.3342,0.6658,0.0,False
702,27159,50.48,93.66,43.17,0.2473,0.3444,0.6556,0.0,False
709,28703,59.46,81.38,21.93,0.2636,0.4008,0.5992,0.0,False
715,28770,80.13,99.54,19.41,0.3004,0.4223,0.5777,0.0,False
727,29488,57.38,60.68,3.3,0.4829,0.4792,0.5208,3.23e-35,True
751,14325,78.02,97.43,19.41,0.1092,0.4243,0.5757,3.31e-215,False
758,29041,45.27,50.48,5.2,0.679,0.4704,0.5296,3.28e-68,True
770,29329,80.05,84.9,4.85,0.5566,0.4773,0.5227,2.61e-41,True
783,29469,89.3,97.21,7.92,0.5848,0.4665,0.5335,1.36e-87,True
800,26906,42.48,47.65,5.17,0.5234,0.4687,0.5313,2.1e-70,True
