mode,severity,delta_vs_control_deg,sd_across_seeds_and_blocks_deg
RATE_LOSS,0.1,0.309,0.566
RATE_LOSS,0.25,5.004,0.057
RATE_LOSS,0.4,13.481,0.435
RATE_LOSS,0.55,24.461,0.146
RATE_LOSS,0.7,30.152,1.205
RATE_LOSS,0.85,34.97,3.376
RATE_LOSS,0.95,38.979,4.981
CHANNEL_DROPOUT,0.05,2.676,12.908
CHANNEL_DROPOUT,0.15,7.277,13.389
CHANNEL_DROPOUT,0.3,11.068,12.931
CHANNEL_DROPOUT,0.45,12.274,11.366
CHANNEL_DROPOUT,0.6,24.115,6.465
CHANNEL_DROPOUT,0.8,29.745,6.906
CHANNEL_DROPOUT,0.95,36.162,4.565
GAIN_DRIFT,0.2,1.076,4.86
GAIN_DRIFT,0.5,7.128,11.312
GAIN_DRIFT,0.8,10.861,14.181
GAIN_DRIFT,1.2,21.539,7.489
GAIN_DRIFT,1.6,25.566,7.01
GAIN_DRIFT,2.2,25.662,9.43
GAIN_DRIFT,3.0,25.434,11.138
GEOMETRY_ROTATION,0.15,-10.978,3.581
GEOMETRY_ROTATION,0.45,7.271,11.755
GEOMETRY_ROTATION,0.8,21.741,9.982
GEOMETRY_ROTATION,1.2,31.103,4.986
GEOMETRY_ROTATION,1.57,35.275,3.362
GEOMETRY_ROTATION,2.0,37.924,4.11
GEOMETRY_ROTATION,2.5,38.746,3.538
