day,mode,status,med_benign,med_sub,med_crossing
658,CHANNEL_DROPOUT,monotone,5.66,11.8,31.58
658,GAIN_DRIFT,monotone,1.08,13.49,30.78
658,GEOMETRY_ROTATION,monotone,1.89,17.16,34.67
658,RATE_LOSS,monotone,-0.47,3.46,22.35
665,CHANNEL_DROPOUT,monotone,5.16,28.99,37.57
665,GAIN_DRIFT,monotone,6.67,15.12,34.61
665,GEOMETRY_ROTATION,monotone,5.06,28.61,38.19
665,RATE_LOSS,monotone,2.92,9.04,31.48
672,CHANNEL_DROPOUT,NOT monotone,-6.85,-8.36,4.12
672,GAIN_DRIFT,monotone,-8.0,-5.89,-1.84
672,GEOMETRY_ROTATION,monotone,-7.41,-2.21,2.32
672,RATE_LOSS,monotone,-5.5,-4.99,-2.24
675,CHANNEL_DROPOUT,monotone,-1.57,15.23,17.55
675,GAIN_DRIFT,NOT monotone,3.72,1.08,6.69
675,GEOMETRY_ROTATION,monotone,1.09,1.15,12.02
675,RATE_LOSS,monotone,0.59,4.78,9.39
689,CHANNEL_DROPOUT,NOT monotone,-1.33,0.84,-3.44
689,GAIN_DRIFT,NOT monotone,-11.16,3.09,-4.17
689,GEOMETRY_ROTATION,NOT monotone,-0.45,-2.2,7.29
689,RATE_LOSS,NOT monotone,-1.33,-2.62,1.55
692,CHANNEL_DROPOUT,monotone,7.79,19.84,23.15
692,GAIN_DRIFT,monotone,5.28,10.98,23.13
692,GEOMETRY_ROTATION,monotone,7.21,21.27,29.22
692,RATE_LOSS,monotone,4.16,6.37,19.92
702,CHANNEL_DROPOUT,monotone,-4.32,21.45,34.08
702,GAIN_DRIFT,NOT monotone,-0.37,22.95,21.58
702,GEOMETRY_ROTATION,monotone,1.83,12.41,26.66
702,RATE_LOSS,monotone,3.9,11.05,28.57
709,CHANNEL_DROPOUT,NOT monotone,1.66,-2.38,0.22
709,GAIN_DRIFT,monotone,0.31,2.12,10.71
709,GEOMETRY_ROTATION,monotone,-3.13,-1.09,6.68
709,RATE_LOSS,monotone,-2.14,-1.83,3.33
715,CHANNEL_DROPOUT,monotone,6.58,14.19,18.06
715,GAIN_DRIFT,NOT monotone,1.69,17.36,3.97
715,GEOMETRY_ROTATION,NOT monotone,10.7,4.55,3.4
715,RATE_LOSS,monotone,5.48,8.22,8.24
727,CHANNEL_DROPOUT,monotone,15.51,19.85,30.65
727,GAIN_DRIFT,NOT monotone,10.06,7.93,21.46
727,GEOMETRY_ROTATION,NOT monotone,5.31,30.66,5.16
727,RATE_LOSS,monotone,10.6,13.41,14.09
751,CHANNEL_DROPOUT,NOT monotone,2.95,-11.97,1.03
751,GAIN_DRIFT,monotone,-2.02,1.49,8.39
751,GEOMETRY_ROTATION,NOT monotone,-12.28,2.95,2.15
751,RATE_LOSS,NOT monotone,-2.16,-4.96,2.77
758,CHANNEL_DROPOUT,NOT monotone,-3.46,-3.93,36.09
758,GAIN_DRIFT,NOT monotone,21.07,9.64,20.53
758,GEOMETRY_ROTATION,NOT monotone,-0.05,17.9,5.12
758,RATE_LOSS,NOT monotone,-7.12,-11.29,-3.35
770,CHANNEL_DROPOUT,NOT monotone,-3.37,-19.87,-13.17
770,GAIN_DRIFT,NOT monotone,-11.49,-17.85,-20.23
770,GEOMETRY_ROTATION,monotone,-12.21,18.49,33.19
770,RATE_LOSS,NOT monotone,-6.36,-10.39,-14.69
783,CHANNEL_DROPOUT,NOT monotone,15.91,5.16,-27.74
783,GAIN_DRIFT,monotone,8.95,17.73,22.33
783,GEOMETRY_ROTATION,NOT monotone,2.48,-25.01,26.9
783,RATE_LOSS,NOT monotone,-0.98,-4.63,-0.55
800,CHANNEL_DROPOUT,NOT monotone,-1.65,6.86,4.26
800,GAIN_DRIFT,monotone,-1.93,9.96,40.65
800,GEOMETRY_ROTATION,monotone,-0.97,38.72,40.14
800,RATE_LOSS,monotone,-0.26,1.23,11.52
