day,mode,status,med_benign,med_sub,med_crossing
2121,CHANNEL_DROPOUT,monotone,-0.04,2.17,11.84
2121,GAIN_DRIFT,monotone,-1.94,0.51,10.16
2121,GEOMETRY_ROTATION,monotone,-1.64,-0.34,3.31
2121,RATE_LOSS,NOT monotone,-1.03,-2.19,-0.14
2126,CHANNEL_DROPOUT,monotone,0.61,6.44,16.28
2126,GAIN_DRIFT,monotone,0.57,3.15,12.42
2126,GEOMETRY_ROTATION,monotone,0.04,1.87,14.13
2126,RATE_LOSS,monotone,-0.1,0.84,2.69
2128,CHANNEL_DROPOUT,monotone,2.35,2.43,9.18
2128,GAIN_DRIFT,monotone,0.53,1.17,11.14
2128,GEOMETRY_ROTATION,monotone,1.54,1.95,6.68
2128,RATE_LOSS,NOT monotone,1.4,1.72,1.13
2133,CHANNEL_DROPOUT,monotone,-7.93,-5.8,-1.51
2133,GAIN_DRIFT,monotone,-10.94,-8.14,0.86
2133,GEOMETRY_ROTATION,NOT monotone,-6.77,-7.29,0.37
2133,RATE_LOSS,NOT monotone,-6.67,-8.06,-5.88
2135,CHANNEL_DROPOUT,monotone,-7.33,-2.21,-1.88
2135,GAIN_DRIFT,NOT monotone,-5.94,0.52,-4.06
2135,GEOMETRY_ROTATION,NOT monotone,-5.86,-9.26,-4.26
2135,RATE_LOSS,monotone,-7.27,-5.64,-5.15
2149,CHANNEL_DROPOUT,monotone,1.81,2.82,5.65
2149,GAIN_DRIFT,NOT monotone,2.53,1.43,3.42
2149,GEOMETRY_ROTATION,NOT monotone,-0.88,1.81,1.38
2149,RATE_LOSS,monotone,1.64,2.45,3.17
