participant,source_day,target_day,gap_days,auc_mean,auc_sd,repeats,n_episodes,auc_same_day,delta
T11,658,658,0,0.8874493927125506,0.004721418538336275,5,40,0.8874493927125506,0.0
T11,665,658,-7,0.8906882591093117,0.0,5,40,0.8874493927125506,0.0032388663967610754
T11,672,658,-14,0.8906882591093117,0.0,5,40,0.8874493927125506,0.0032388663967610754
T11,675,658,-17,0.8906882591093117,0.0,5,40,0.8874493927125506,0.0032388663967610754
T11,689,658,-31,0.8906882591093117,0.0,5,40,0.8874493927125506,0.0032388663967610754
T11,692,658,-34,0.8906882591093117,0.0,5,40,0.8874493927125506,0.0032388663967610754
T11,702,658,-44,0.8906882591093117,0.0,5,40,0.8874493927125506,0.0032388663967610754
T11,709,658,-51,0.8906882591093117,0.0,5,40,0.8874493927125506,0.0032388663967610754
T11,715,658,-57,0.8906882591093117,0.0,5,40,0.8874493927125506,0.0032388663967610754
T11,727,658,-69,0.8906882591093117,0.0,5,40,0.8874493927125506,0.0032388663967610754
T11,751,658,-93,0.8906882591093117,0.0,5,40,0.8874493927125506,0.0032388663967610754
T11,758,658,-100,0.891497975708502,0.0016194331983805821,5,40,0.8874493927125506,0.004048582995951344
T11,770,658,-112,0.8906882591093117,0.0,5,40,0.8874493927125506,0.0032388663967610754
T11,783,658,-125,0.8906882591093117,0.0,5,40,0.8874493927125506,0.0032388663967610754
T11,800,658,-142,0.8906882591093117,0.0,5,40,0.8874493927125506,0.0032388663967610754
T11,658,672,14,0.727807486631016,0.0020008863030876772,5,40,0.7213903743315507,0.0064171122994652885
T11,665,672,7,0.7267379679144386,0.0020008863030876772,5,40,0.7213903743315507,0.005347593582887833
T11,672,672,0,0.7213903743315507,0.007637891367425538,5,40,0.7213903743315507,0.0
T11,675,672,-3,0.728342245989305,0.001309887562985662,5,40,0.7213903743315507,0.006951871657754238
T11,689,672,-17,0.7315508021390374,0.002139037433155089,5,40,0.7213903743315507,0.010160427807486716
T11,692,672,-20,0.7299465240641712,0.002928997633717478,5,40,0.7213903743315507,0.008556149732620422
T11,702,672,-30,0.7310160427807487,0.001309887562985662,5,40,0.7213903743315507,0.009625668449197988
T11,709,672,-37,0.7304812834224599,0.0010695187165775443,5,40,0.7213903743315507,0.00909090909090915
T11,715,672,-43,0.7304812834224599,0.0010695187165775443,5,40,0.7213903743315507,0.00909090909090915
T11,727,672,-55,0.73048128342246,0.0010695187165775445,5,40,0.7213903743315507,0.00909090909090926
T11,751,672,-79,0.732620320855615,0.0,5,40,0.7213903743315507,0.011229946524064283
T11,758,672,-86,0.727807486631016,0.0031181560935001733,5,40,0.7213903743315507,0.0064171122994652885
T11,770,672,-98,0.7315508021390373,0.001309887562985662,5,40,0.7213903743315507,0.010160427807486605
T11,783,672,-111,0.7294117647058824,0.0010695187165775443,5,40,0.7213903743315507,0.008021390374331694
T11,800,672,-128,0.7294117647058824,0.0010695187165775443,5,40,0.7213903743315507,0.008021390374331694
T11,658,675,17,0.9041666666666666,0.001701034543599423,5,40,0.9034722222222221,0.000694444444444442
T11,665,675,10,0.9034722222222221,0.0025983731852596724,5,40,0.9034722222222221,0.0
T11,672,675,3,0.898611111111111,0.004606423319938039,5,40,0.9034722222222221,-0.004861111111111094
T11,675,675,0,0.9034722222222221,0.001388888888888884,5,40,0.9034722222222221,0.0
T11,689,675,-14,0.9,0.005973836991001803,5,40,0.9034722222222221,-0.003472222222222099
T11,692,675,-17,0.90625,0.0021960261528947,5,40,0.9034722222222221,0.002777777777777879
T11,702,675,-27,0.9020833333333332,0.0025983731852596724,5,40,0.9034722222222221,-0.001388888888888884
T11,709,675,-34,0.9020833333333333,0.00510310363079827,5,40,0.9034722222222221,-0.001388888888888773
T11,715,675,-40,0.90625,0.0043920523057894,5,40,0.9034722222222221,0.002777777777777879
T11,727,675,-52,0.9055555555555556,0.0025983731852596724,5,40,0.9034722222222221,0.002083333333333437
T11,751,675,-76,0.9020833333333332,0.004049272149198111,5,40,0.9034722222222221,-0.001388888888888884
T11,758,675,-83,0.9104166666666667,0.0025983731852596724,5,40,0.9034722222222221,0.006944444444444531
T11,770,675,-95,0.9027777777777779,1.1102230246251565e-16,5,40,0.9034722222222221,-0.0006944444444442199
T11,783,675,-108,0.90625,0.004910463758239896,5,40,0.9034722222222221,0.002777777777777879
T11,800,675,-125,0.8954861111111111,0.004166666666666647,5,40,0.9034722222222221,-0.007986111111111027
T11,658,689,31,0.5554545454545455,0.0018181818181818076,5,40,0.5663636363636363,-0.010909090909090757
T11,665,689,24,0.5554545454545454,0.0018181818181818078,5,40,0.5663636363636363,-0.010909090909090868
T11,672,689,17,0.5581818181818182,0.004453617714151208,5,40,0.5663636363636363,-0.008181818181818068
T11,675,689,14,0.5559090909090909,0.003962635403218782,5,40,0.5663636363636363,-0.010454545454545383
T11,689,689,0,0.5663636363636363,0.005454545454545475,5,40,0.5663636363636363,0.0
T11,692,689,-3,0.5654545454545454,0.0068030134304980835,5,40,0.5663636363636363,-0.0009090909090908594
T11,702,689,-13,0.5545454545454546,0.0,5,40,0.5663636363636363,-0.011818181818181728
T11,709,689,-20,0.5581818181818182,0.0018181818181818078,5,40,0.5663636363636363,-0.008181818181818068
T11,715,689,-26,0.5590909090909091,0.005749595745760692,5,40,0.5663636363636363,-0.0072727272727272085
T11,727,689,-38,0.5536363636363637,0.0034015067152490175,5,40,0.5663636363636363,-0.012727272727272587
T11,751,689,-62,0.5527272727272727,0.002226808857075604,5,40,0.5663636363636363,-0.013636363636363558
T11,758,689,-69,0.5572727272727274,0.0036363636363636155,5,40,0.5663636363636363,-0.009090909090908927
T11,770,689,-81,0.5554545454545454,0.0018181818181818078,5,40,0.5663636363636363,-0.010909090909090868
T11,783,689,-94,0.5590909090909091,0.0,5,40,0.5663636363636363,-0.0072727272727272085
T11,800,689,-111,0.5554545454545454,0.0018181818181818078,5,40,0.5663636363636363,-0.010909090909090868
T11,658,692,34,0.8959999999999999,0.003265986323710925,5,40,0.8786666666666667,0.0173333333333332
T11,665,692,27,0.8960000000000001,0.003265986323710925,5,40,0.8786666666666667,0.017333333333333423
T11,672,692,20,0.8973333333333333,0.003265986323710925,5,40,0.8786666666666667,0.01866666666666661
T11,675,692,17,0.9,0.0,5,40,0.8786666666666667,0.021333333333333315
T11,689,692,3,0.8880000000000001,0.0026666666666666397,5,40,0.8786666666666667,0.009333333333333416
T11,692,692,0,0.8786666666666667,0.010666666666666698,5,40,0.8786666666666667,0.0
T11,702,692,-10,0.8973333333333333,0.003265986323710925,5,40,0.8786666666666667,0.01866666666666661
T11,709,692,-17,0.8986666666666666,0.002666666666666684,5,40,0.8786666666666667,0.019999999999999907
T11,715,692,-23,0.8906666666666666,0.003265986323710871,5,40,0.8786666666666667,0.0119999999999999
T11,727,692,-35,0.8933333333333333,0.0,5,40,0.8786666666666667,0.014666666666666606
T11,751,692,-59,0.8906666666666666,0.0032659863237108704,5,40,0.8786666666666667,0.0119999999999999
T11,758,692,-66,0.8893333333333334,0.0032659863237108704,5,40,0.8786666666666667,0.010666666666666713
T11,770,692,-78,0.9,0.0,5,40,0.8786666666666667,0.021333333333333315
T11,783,692,-91,0.8973333333333333,0.003265986323710925,5,40,0.8786666666666667,0.01866666666666661
T11,800,692,-108,0.8866666666666667,0.0,5,40,0.8786666666666667,0.008000000000000007
T11,658,702,44,0.47777777777777775,5.551115123125783e-17,5,40,0.4666666666666666,0.011111111111111127
T11,665,702,37,0.47777777777777775,5.551115123125783e-17,5,40,0.4666666666666666,0.011111111111111127
T11,672,702,30,0.47444444444444445,0.004444444444444454,5,40,0.4666666666666666,0.007777777777777828
T11,675,702,27,0.47777777777777775,5.551115123125783e-17,5,40,0.4666666666666666,0.011111111111111127
T11,689,702,13,0.47444444444444445,0.004444444444444454,5,40,0.4666666666666666,0.007777777777777828
T11,692,702,10,0.47777777777777775,5.551115123125783e-17,5,40,0.4666666666666666,0.011111111111111127
T11,702,702,0,0.4666666666666666,0.009296222517045292,5,40,0.4666666666666666,0.0
T11,709,702,-7,0.47333333333333333,0.005443310539518182,5,40,0.4666666666666666,0.00666666666666671
T11,715,702,-13,0.4766666666666667,0.0022222222222222365,5,40,0.4666666666666666,0.010000000000000064
T11,727,702,-25,0.4666666666666667,0.00993807989999908,5,40,0.4666666666666666,5.551115123125783e-17
T11,751,702,-49,0.47777777777777775,5.551115123125783e-17,5,40,0.4666666666666666,0.011111111111111127
T11,758,702,-56,0.47333333333333333,0.004157397096415499,5,40,0.4666666666666666,0.00666666666666671
T11,770,702,-68,0.45555555555555555,0.0,5,40,0.4666666666666666,-0.011111111111111072
T11,783,702,-81,0.4766666666666667,0.0022222222222222365,5,40,0.4666666666666666,0.010000000000000064
T11,800,702,-98,0.47777777777777775,5.551115123125783e-17,5,40,0.4666666666666666,0.011111111111111127
T11,658,709,51,0.7211640211640212,0.003588534382605947,5,40,0.7243386243386244,-0.0031746031746031633
T11,665,709,44,0.7285714285714286,0.004906676452643231,5,40,0.7243386243386244,0.004232804232804255
T11,672,709,37,0.735978835978836,0.004232804232804238,5,40,0.7243386243386244,0.011640211640211562
T11,675,709,34,0.7322751322751323,0.001979712903055016,5,40,0.7243386243386244,0.007936507936507908
T11,689,709,20,0.717989417989418,0.004612591474646215,5,40,0.7243386243386244,-0.006349206349206438
T11,692,709,17,0.729100529100529,0.004906676452643231,5,40,0.7243386243386244,0.004761904761904634
T11,702,709,7,0.721164021164021,0.003588534382605947,5,40,0.7243386243386244,-0.0031746031746033854
T11,709,709,0,0.7243386243386244,0.009375685262787994,5,40,0.7243386243386244,0.0
T11,715,709,-6,0.7354497354497355,0.003346325566315745,5,40,0.7243386243386244,0.011111111111111072
T11,727,709,-18,0.7343915343915344,0.002697893922535893,5,40,0.7243386243386244,0.01005291005290998
T11,751,709,-42,0.737037037037037,0.001296026318932912,5,40,0.7243386243386244,0.012698412698412653
T11,758,709,-49,0.734920634920635,0.0035096558628099467,5,40,0.7243386243386244,0.010582010582010581
T11,770,709,-61,0.726984126984127,0.0010582010582010693,5,40,0.7243386243386244,0.002645502645502562
T11,783,709,-74,0.7322751322751323,0.010232317251753272,5,40,0.7243386243386244,0.007936507936507908
T11,800,709,-91,0.7206349206349207,0.008128196558591122,5,40,0.7243386243386244,-0.0037037037037036535
T11,658,715,57,0.5535714285714286,0.0,5,40,0.5535714285714286,0.0
T11,665,715,50,0.5535714285714286,0.0,5,40,0.5535714285714286,0.0
T11,672,715,43,0.5595238095238095,0.0037646162621052,5,40,0.5535714285714286,0.005952380952380931
T11,675,715,40,0.5535714285714286,0.0,5,40,0.5535714285714286,0.0
T11,689,715,26,0.555952380952381,0.0029160592175990112,5,40,0.5535714285714286,0.0023809523809523725
T11,692,715,23,0.5535714285714286,0.0,5,40,0.5535714285714286,0.0
T11,702,715,13,0.5535714285714286,0.0,5,40,0.5535714285714286,0.0
T11,709,715,6,0.5535714285714286,0.0,5,40,0.5535714285714286,0.0
T11,715,715,0,0.5535714285714286,0.0,5,40,0.5535714285714286,0.0
T11,727,715,-12,0.5535714285714286,0.0,5,40,0.5535714285714286,0.0
T11,751,715,-36,0.5535714285714286,0.0,5,40,0.5535714285714286,0.0
T11,758,715,-43,0.555952380952381,0.0029160592175990112,5,40,0.5535714285714286,0.0023809523809523725
T11,770,715,-55,0.5547619047619048,0.002380952380952372,5,40,0.5535714285714286,0.0011904761904761862
T11,783,715,-68,0.5547619047619048,0.002380952380952372,5,40,0.5535714285714286,0.0011904761904761862
T11,800,715,-85,0.5583333333333333,0.002380952380952372,5,40,0.5535714285714286,0.004761904761904745
T11,658,751,93,0.6325925925925925,0.008248539796785245,5,37,0.6607407407407406,-0.028148148148148144
T11,665,751,86,0.6511111111111111,0.02087259674608205,5,37,0.6607407407407406,-0.009629629629629544
T11,672,751,79,0.6585185185185185,0.0071817479369130875,5,37,0.6607407407407406,-0.0022222222222221255
T11,675,751,76,0.6540740740740741,0.013578002059128404,5,37,0.6607407407407406,-0.0066666666666664876
T11,689,751,62,0.6333333333333333,0.006197481678030185,5,37,0.6607407407407406,-0.027407407407407325
T11,692,751,59,0.6511111111111111,0.01578316722419447,5,37,0.6607407407407406,-0.009629629629629544
T11,702,751,49,0.6311111111111111,0.0060178062256562815,5,37,0.6607407407407406,-0.02962962962962956
T11,709,751,42,0.6540740740740741,0.012527062611324262,5,37,0.6607407407407406,-0.0066666666666664876
T11,715,751,36,0.6562962962962964,0.005925925925925884,5,37,0.6607407407407406,-0.004444444444444251
T11,727,751,24,0.6562962962962964,0.008574694002066821,5,37,0.6607407407407406,-0.004444444444444251
T11,751,751,0,0.6607407407407406,0.007978021936495565,5,37,0.6607407407407406,0.0
T11,758,751,-7,0.6370370370370371,0.01385799032138497,5,37,0.6607407407407406,-0.02370370370370356
T11,770,751,-19,0.6511111111111111,0.004319223625811324,5,37,0.6607407407407406,-0.009629629629629544
T11,783,751,-32,0.642962962962963,0.010370370370370379,5,37,0.6607407407407406,-0.01777777777777767
T11,800,751,-49,0.6577777777777778,0.0072577473860242015,5,37,0.6607407407407406,-0.002962962962962834
T11,658,758,100,0.6530000000000001,0.008717797887081356,5,40,0.6779999999999999,-0.0249999999999998
T11,665,758,93,0.6520000000000001,0.0040000000000000036,5,40,0.6779999999999999,-0.0259999999999998
T11,672,758,86,0.655,0.0054772255750516665,5,40,0.6779999999999999,-0.02299999999999991
T11,675,758,83,0.6540000000000001,0.0020000000000000018,5,40,0.6779999999999999,-0.0239999999999998
T11,689,758,69,0.667,0.006000000000000005,5,40,0.6779999999999999,-0.010999999999999899
T11,692,758,66,0.6745,0.010049875621120866,5,40,0.6779999999999999,-0.0034999999999999476
T11,702,758,56,0.6600000000000001,0.003162277660168382,5,40,0.6779999999999999,-0.017999999999999794
T11,709,758,49,0.659,0.011575836902790236,5,40,0.6779999999999999,-0.018999999999999906
T11,715,758,43,0.6700000000000002,0.004472135954999583,5,40,0.6779999999999999,-0.007999999999999785
T11,727,758,31,0.66,0.01140175425099139,5,40,0.6779999999999999,-0.017999999999999905
T11,751,758,7,0.639,0.0037416573867739447,5,40,0.6779999999999999,-0.038999999999999924
T11,758,758,0,0.6779999999999999,0.006000000000000005,5,40,0.6779999999999999,0.0
T11,770,758,-12,0.672,0.0024494897427831805,5,40,0.6779999999999999,-0.005999999999999894
T11,783,758,-25,0.639,0.01319090595827293,5,40,0.6779999999999999,-0.038999999999999924
T11,800,758,-42,0.655,0.008366600265340763,5,40,0.6779999999999999,-0.02299999999999991
T11,658,770,112,0.42631578947368426,0.015213672553458815,5,40,0.4817543859649123,-0.055438596491228065
T11,665,770,105,0.4340350877192982,0.027485131266759496,5,40,0.4817543859649123,-0.047719298245614106
T11,672,770,98,0.46421052631578946,0.011826175120247525,5,40,0.4817543859649123,-0.01754385964912286
T11,675,770,95,0.4712280701754386,0.026388204458895656,5,40,0.4817543859649123,-0.010526315789473717
T11,689,770,81,0.4143859649122807,0.005251448963893267,5,40,0.4817543859649123,-0.06736842105263163
T11,692,770,78,0.4228070175438596,0.009673016668133479,5,40,0.4817543859649123,-0.05894736842105275
T11,702,770,68,0.4284210526315789,0.008183792133116196,5,40,0.4817543859649123,-0.0533333333333334
T11,709,770,61,0.4333333333333333,0.011742596863636151,5,40,0.4817543859649123,-0.04842105263157903
T11,715,770,55,0.4375438596491228,0.021901033732389098,5,40,0.4817543859649123,-0.04421052631578953
T11,727,770,43,0.4228070175438597,0.013498515130997436,5,40,0.4817543859649123,-0.05894736842105264
T11,751,770,19,0.4431578947368421,0.01392942683598541,5,40,0.4817543859649123,-0.03859649122807024
T11,758,770,12,0.4375438596491228,0.01780852988133266,5,40,0.4817543859649123,-0.04421052631578953
T11,770,770,0,0.4817543859649123,0.0014035087719298292,5,40,0.4817543859649123,0.0
T11,783,770,-13,0.4649122807017544,0.025496002981873607,5,40,0.4817543859649123,-0.016842105263157936
T11,800,770,-30,0.43614035087719294,0.024450879144118375,5,40,0.4817543859649123,-0.045614035087719385
T11,658,783,125,0.31875,0.0,5,40,0.31625,0.0025000000000000022
T11,665,783,118,0.30999999999999994,0.008477912478906582,5,40,0.31625,-0.006250000000000033
T11,672,783,111,0.30375,0.007499999999999999,5,40,0.31625,-0.012499999999999956
T11,675,783,108,0.31625,0.004999999999999983,5,40,0.31625,0.0
T11,689,783,94,0.29124999999999995,0.005000000000000007,5,40,0.31625,-0.025000000000000022
T11,692,783,91,0.315,0.003061862178478962,5,40,0.31625,-0.0012499999999999734
T11,702,783,81,0.3075,0.007288689868556623,5,40,0.31625,-0.00874999999999998
T11,709,783,74,0.31625,0.004999999999999983,5,40,0.31625,0.0
T11,715,783,68,0.30500000000000005,0.004677071733467434,5,40,0.31625,-0.011249999999999927
T11,727,783,56,0.31500000000000006,0.003061862178478962,5,40,0.31625,-0.0012499999999999178
T11,751,783,32,0.3175,0.002499999999999991,5,40,0.31625,0.0012500000000000289
T11,758,783,25,0.31125,0.006123724356957945,5,40,0.31625,-0.004999999999999949
T11,770,783,13,0.3125,0.00968245836551853,5,40,0.31625,-0.0037499999999999756
T11,783,783,0,0.31625,0.004999999999999982,5,40,0.31625,0.0
T11,800,783,-17,0.2975,0.013462912017836257,5,40,0.31625,-0.01874999999999999
T11,658,800,142,0.9843478260869565,0.003478260869565242,5,40,0.9791304347826086,0.00521739130434784
T11,665,800,135,0.9791304347826086,0.00886786002363964,5,40,0.9791304347826086,0.0
T11,672,800,128,0.9756521739130435,0.008519964322724116,5,40,0.9791304347826086,-0.003478260869565153
T11,675,800,125,0.9878260869565217,0.004259982161362079,5,40,0.9791304347826086,0.008695652173913104
T11,689,800,111,0.9721739130434782,0.012779946484086157,5,40,0.9791304347826086,-0.006956521739130417
T11,692,800,108,0.9826086956521738,1.1102230246251565e-16,5,40,0.9791304347826086,0.003478260869565153
T11,702,800,98,0.9791304347826086,0.004259982161362024,5,40,0.9791304347826086,0.0
T11,709,800,91,0.9756521739130435,0.014960565681813283,5,40,0.9791304347826086,-0.003478260869565153
T11,715,800,85,0.9773913043478262,0.004259982161362024,5,40,0.9791304347826086,-0.0017391304347824654
T11,727,800,73,0.9773913043478262,0.004259982161362024,5,40,0.9791304347826086,-0.0017391304347824654
T11,751,800,49,0.9704347826086958,0.00695652173913044,5,40,0.9791304347826086,-0.008695652173912882
T11,758,800,42,0.9773913043478262,0.004259982161362024,5,40,0.9791304347826086,-0.0017391304347824654
T11,770,800,30,0.9826086956521738,1.1102230246251565e-16,5,40,0.9791304347826086,0.003478260869565153
T11,783,800,17,0.9773913043478262,0.004259982161362024,5,40,0.9791304347826086,-0.0017391304347824654
T11,800,800,0,0.9791304347826086,0.004259982161362024,5,40,0.9791304347826086,0.0
