participant,source_day,target_day,gap_days,auc_mean,auc_sd,repeats,n_episodes,auc_same_day,delta
T5,2121,2121,0,0.956043956043956,1.1102230246251565e-16,5,40,0.956043956043956,0.0
T5,2126,2121,-5,0.956043956043956,1.1102230246251565e-16,5,40,0.956043956043956,0.0
T5,2128,2121,-7,0.956043956043956,1.1102230246251565e-16,5,40,0.956043956043956,0.0
T5,2133,2121,-12,0.956043956043956,1.1102230246251565e-16,5,40,0.956043956043956,0.0
T5,2135,2121,-14,0.956043956043956,1.1102230246251565e-16,5,40,0.956043956043956,0.0
T5,2149,2121,-28,0.956043956043956,1.1102230246251565e-16,5,40,0.956043956043956,0.0
T5,2121,2126,5,0.8555555555555555,0.0,5,40,0.8555555555555555,0.0
T5,2126,2126,0,0.8555555555555555,0.0,5,40,0.8555555555555555,0.0
T5,2128,2126,-2,0.8555555555555555,0.0,5,40,0.8555555555555555,0.0
T5,2133,2126,-7,0.8555555555555555,0.0,5,40,0.8555555555555555,0.0
T5,2135,2126,-9,0.8555555555555555,0.0,5,40,0.8555555555555555,0.0
T5,2149,2126,-23,0.8555555555555555,0.0,5,40,0.8555555555555555,0.0
T5,2121,2128,7,0.8557275541795665,0.001516711915036041,5,40,0.8613003095975232,-0.005572755417956765
T5,2126,2128,2,0.8625386996904025,0.002476780185758498,5,40,0.8613003095975232,0.0012383900928792935
T5,2128,2128,0,0.8613003095975232,0.0030334238300720275,5,40,0.8613003095975232,0.0
T5,2133,2128,-5,0.8575851393188854,1.1102230246251565e-16,5,40,0.8613003095975232,-0.0037151702786378804
T5,2135,2128,-7,0.8643962848297212,0.004953560371517015,5,40,0.8613003095975232,0.003095975232197956
T5,2149,2128,-21,0.860061919504644,0.0030334238300720275,5,40,0.8613003095975232,-0.0012383900928792935
T5,2121,2133,12,0.8400000000000001,1.1102230246251565e-16,5,40,0.8400000000000001,0.0
T5,2126,2133,7,0.8400000000000001,1.1102230246251565e-16,5,40,0.8400000000000001,0.0
T5,2128,2133,5,0.8400000000000001,1.1102230246251565e-16,5,40,0.8400000000000001,0.0
T5,2133,2133,0,0.8400000000000001,1.1102230246251565e-16,5,40,0.8400000000000001,0.0
T5,2135,2133,-2,0.8400000000000001,1.1102230246251565e-16,5,40,0.8400000000000001,0.0
T5,2149,2133,-16,0.8400000000000001,1.1102230246251565e-16,5,40,0.8400000000000001,0.0
T5,2121,2135,14,0.5842391304347826,0.0,5,40,0.5842391304347826,0.0
T5,2126,2135,9,0.5842391304347826,0.0,5,40,0.5842391304347826,0.0
T5,2128,2135,7,0.5842391304347826,0.0,5,40,0.5842391304347826,0.0
T5,2133,2135,2,0.5842391304347826,0.0,5,40,0.5842391304347826,0.0
T5,2135,2135,0,0.5842391304347826,0.0,5,40,0.5842391304347826,0.0
T5,2149,2135,-14,0.5842391304347826,0.0,5,40,0.5842391304347826,0.0
T5,2121,2149,28,0.6946291560102302,0.0020460358056265835,5,40,0.6982097186700766,-0.003580562659846409
T5,2126,2149,23,0.6910485933503837,0.001023017902813317,5,40,0.6982097186700766,-0.007161125319692929
T5,2128,2149,21,0.6961636828644502,0.0044001663770038965,5,40,0.6982097186700766,-0.002046035805626456
T5,2133,2149,16,0.6930946291560103,0.001617533330009394,5,40,0.6982097186700766,-0.005115089514066362
T5,2135,2149,14,0.6925831202046037,0.002982584089434946,5,40,0.6982097186700766,-0.005626598465472976
T5,2149,2149,0,0.6982097186700766,0.007050664323319799,5,40,0.6982097186700766,0.0
