baseline_n,n_sd,persist,index,onset
4,1.5,2,8,day 689 blk 13
4,1.5,3,15,day 709 blk 7
4,2.0,2,8,day 689 blk 13
4,2.0,3,16,day 715 blk 10
4,2.5,2,8,day 689 blk 13
4,2.5,3,16,day 715 blk 10
4,3.0,2,8,day 689 blk 13
4,3.0,3,16,day 715 blk 10
6,1.5,2,8,day 689 blk 13
6,1.5,3,16,day 715 blk 10
6,2.0,2,8,day 689 blk 13
6,2.0,3,16,day 715 blk 10
6,2.5,2,8,day 689 blk 13
6,2.5,3,16,day 715 blk 10
6,3.0,2,8,day 689 blk 13
6,3.0,3,16,day 715 blk 10
8,1.5,2,8,day 689 blk 13
8,1.5,3,15,day 709 blk 7
8,2.0,2,8,day 689 blk 13
8,2.0,3,16,day 715 blk 10
8,2.5,2,8,day 689 blk 13
8,2.5,3,16,day 715 blk 10
8,3.0,2,8,day 689 blk 13
8,3.0,3,16,day 715 blk 10
