trial_uid,participant,cohort,trial_day,block,block_id,trial_in_block,start_bin_matlab,stop_bin_matlab,start_bin,stop_bin,n_bins_in_trial,angle_error_deg,success,time_to_target,path_efficiency,orth_changes,excluded,used_click
T11_d658_b5_t0,T11,main,658,5,T11/day_658/block_5,0,270,467,269,467,198,36.74745178222656,True,3.96,0.7326526641845703,3.0,False,True
T11_d658_b5_t1,T11,main,658,5,T11/day_658/block_5,1,468,629,467,629,162,41.90400695800781,True,3.24,0.7413691878318787,1.0,False,True
T11_d658_b5_t2,T11,main,658,5,T11/day_658/block_5,2,630,794,629,794,165,29.100196838378906,True,3.3,0.7485158443450928,0.0,False,True
T11_d658_b5_t3,T11,main,658,5,T11/day_658/block_5,3,795,924,794,924,130,9.180601119995117,True,2.6,0.8830463290214539,1.0,False,True
T11_d658_b5_t4,T11,main,658,5,T11/day_658/block_5,4,925,1068,924,1068,144,25.564804077148438,True,2.88,0.8498573899269104,0.0,False,True
T11_d658_b5_t5,T11,main,658,5,T11/day_658/block_5,5,1069,1247,1068,1247,179,36.09962844848633,True,3.58,0.8558799624443054,1.0,False,True
T11_d658_b5_t6,T11,main,658,5,T11/day_658/block_5,6,1248,1407,1247,1407,160,27.250221252441406,True,3.2,0.7587592601776123,1.0,False,True
T11_d658_b5_t7,T11,main,658,5,T11/day_658/block_5,7,1408,1543,1407,1543,136,21.172563552856445,True,2.72,0.834154486656189,0.0,False,True
T11_d658_b5_t8,T11,main,658,5,T11/day_658/block_5,8,1544,1678,1543,1678,135,13.618364334106445,True,2.7,0.8962621092796326,2.0,False,True
T11_d658_b5_t9,T11,main,658,5,T11/day_658/block_5,9,1679,1863,1678,1863,185,23.133378982543945,True,3.7,0.8160067796707153,1.0,False,True
T11_d658_b5_t10,T11,main,658,5,T11/day_658/block_5,10,1864,2044,1863,2044,181,17.169208526611328,True,3.62,0.9203829169273376,0.0,False,True
T11_d658_b5_t11,T11,main,658,5,T11/day_658/block_5,11,2045,2309,2044,2309,265,26.056392669677734,True,5.3,0.7909005880355835,0.0,False,True
T11_d658_b5_t12,T11,main,658,5,T11/day_658/block_5,12,2310,2435,2309,2435,126,11.590235710144043,True,2.52,0.9441938400268555,1.0,False,True
T11_d658_b5_t13,T11,main,658,5,T11/day_658/block_5,13,2436,2607,2435,2607,172,34.71025848388672,True,3.44,0.7654288411140442,0.0,False,True
T11_d658_b5_t14,T11,main,658,5,T11/day_658/block_5,14,2608,3020,2607,3020,413,49.97048568725586,True,8.26,0.5676175355911255,7.0,False,True
T11_d658_b5_t15,T11,main,658,5,T11/day_658/block_5,15,3021,3171,3020,3171,151,26.75663948059082,True,3.02,0.8227514028549194,5.0,False,True
T11_d658_b5_t16,T11,main,658,5,T11/day_658/block_5,16,3172,3350,3171,3350,179,21.52438735961914,True,3.58,0.8565440773963928,1.0,False,True
T11_d658_b5_t17,T11,main,658,5,T11/day_658/block_5,17,3351,3493,3350,3493,143,37.51375198364258,True,2.86,0.7350354790687561,1.0,False,True
T11_d658_b5_t18,T11,main,658,5,T11/day_658/block_5,18,3494,3645,3493,3645,152,10.19816780090332,True,3.04,0.9108402729034424,1.0,False,True
T11_d658_b5_t19,T11,main,658,5,T11/day_658/block_5,19,3646,3760,3645,3760,115,29.049354553222656,True,2.3,0.875999391078949,0.0,False,True
T11_d658_b5_t20,T11,main,658,5,T11/day_658/block_5,20,3761,3887,3760,3887,127,23.19677734375,True,2.54,0.8119171857833862,0.0,False,True
T11_d658_b5_t21,T11,main,658,5,T11/day_658/block_5,21,3888,4049,3887,4049,162,12.527978897094727,True,3.24,0.9125061631202698,1.0,False,True
